Rep Variety Fungicide Yield
1 1 a 71.34467
1 1 b 78.42614
1 1 c 77.68627
1 1 d 76.11678
1 1 e 72.59259
1 1 f 76.9464
1 2 a 71.02745
1 2 b 79.90588
1 2 c 75.37777
1 2 d 75.46666
1 2 e 72.72941
1 2 f 78.97952
1 3 a 73.81264
1 3 b 76.85577
1 3 c 72.42178
1 3 d 73.89978
1 3 e 73.98693
1 3 f 79.71764
1 4 a 70.122
1 4 b 76.13071
1 4 c 74.55077
1 4 d 73.81264
1 4 e 71.02745
1 4 f 75.55555
2 4 d 59.25926
2 4 c 65.49194
2 4 e 68.22832
2 4 f 69.13203
2 4 b 68.38867
2 4 a 65.41525
2 3 e 68.38867
2 3 c 71.44576
2 3 d 68.6292
2 3 a 66.23616
2 3 f 64.15338
2 3 b 71.52942
2 1 b 68.04183
2 1 e 63.62963
2 1 d 58.18562
2 1 a 56.82614
2 1 f 56.07843
2 1 c 56.07843
2 2 b 69.61829
2 2 e 62.06013
2 2 f 68.70937
2 2 c 59.88671
2 2 d 65.05098
2 2 a 59.20697
3 2 c 74.02352
3 2 d 70.94989
3 2 b 80.09847
3 2 f 76.17777
3 2 a 67.37254
3 2 e 74.1098
3 1 f 71.69673
3 1 a 65.95207
3 1 d 67.45098
3 1 c 71.19826
3 1 e 66.70152
3 1 b 76.17777
3 4 f 81.50065
3 4 a 66.10545
3 4 d 68.94989
3 4 c 75.78301
3 4 b 80.84706
3 4 e 72.69717
3 3 a 67.45098
3 3 d 65.27843
3 3 c 63.10065
3 3 f 64.52811
3 3 b 72.95076
3 3 e 71.44662
