"time" "cortisol" "sint" "cost" "pig" "litter" "treat"
14 106.91135146 -0.50000035 -0.866025202 "17111" "7" "1"
14.5 63.180771093 -0.608761761 -0.793353085 "17111" "7" "1"
15 53.946887622 -0.707107087 -0.707106475 "17111" "7" "1"
15.5 199.73670016 -0.793353613 -0.608761074 "17111" "7" "1"
16 124.33754445 -0.866025635 -0.4999996 "17111" "7" "1"
16.5 114.89285518 -0.923879715 -0.382682992 "17111" "7" "1"
17 88.411318608 -0.965925953 -0.258818571 "17111" "7" "1"
17.5 88.146482106 -0.991444927 -0.130525691 "17111" "7" "1"
18 92.203676035 -1 5.1961531e-07 "17111" "7" "1"
18.5 58.264908523 -0.991444792 0.1305267217 "17111" "7" "1"
19 54.325840624 -0.965925684 0.2588195749 "17111" "7" "1"
19.5 42.56362435 -0.923879317 0.3826839524 "17111" "7" "1"
20 43.772247595 -0.866025115 0.5000005 "17111" "7" "1"
20.5 41.554258208 -0.79335298 0.6087618985 "17111" "7" "1"
21 41.181947794 -0.707106353 0.7071072098 "17111" "7" "1"
21.5 41.637449888 -0.608760937 0.7933537181 "17111" "7" "1"
22 45.74122637 -0.49999945 0.8660257213 "17111" "7" "1"
22.5 41.388373167 -0.382682832 0.9238797811 "17111" "7" "1"
23 41.264394109 -0.258818404 0.9659259981 "17111" "7" "1"
23.5 36.598234444 -0.13052552 0.9914449499 "17111" "7" "1"
24 54.598150033 6.9282041e-07 1 "17111" "7" "1"
24.5 59.620531321 0.1305268934 0.9914447691 "17111" "7" "1"
25 50.249470019 0.2588197422 0.9659256395 "17111" "7" "1"
25.5 73.921225062 0.3826841125 0.9238792508 "17111" "7" "1"
26 81.125715929 0.50000065 0.8660250285 "17111" "7" "1"
26.5 83.679999974 0.6087620359 0.7933528746 "17111" "7" "1"
27 73.626130744 0.7071073323 0.7071062301 "17111" "7" "1"
27.5 138.79527421 0.7933538236 0.6087607992 "17111" "7" "1"
28 86.834151956 0.8660258079 0.4999993 "17111" "7" "1"
28.5 107.33985329 0.9238798474 0.3826826723 "17111" "7" "1"
29 465.4478219 0.965926043 0.2588182365 "17111" "7" "1"
29.5 356.02466067 0.9914449725 0.1305253479 "17111" "7" "1"
30 118.03722018 1 -8.660255e-07 "17111" "7" "1"
30.5 88.854482187 0.9914447465 -0.130527065 "17111" "7" "1"
31 60.642744548 0.9659255947 -0.25881991 "17111" "7" "1"
31.5 153.0860222 0.9238791845 -0.382684272 "17111" "7" "1"
32 74.069215453 0.8660249419 -0.5000008 "17111" "7" "1"
32.5 138.79527421 0.7933527692 -0.608762173 "17111" "7" "1"
33 123.10036521 0.7071061076 -0.707107455 "17111" "7" "1"
33.5 191.71310313 0.6087606618 -0.793353929 "17111" "7" "1"
34 113.06919766 0.49999915 -0.866025895 "17111" "7" "1"
34.5 NA 0.3826825122 -0.923879914 "17111" "7" "1"
35 142.45127337 0.2588180692 -0.965926088 "17111" "7" "1"
35.5 NA 0.1305251762 -0.991444995 "17111" "7" "1"
36 NA -1.039231e-06 -1 "17111" "7" "1"
14 186.60610408 -0.50000035 -0.866025202 "18111" "8" "1"
14.5 140.05006979 -0.608761761 -0.793353085 "18111" "8" "1"
15 103.95935443 -0.707107087 -0.707106475 "18111" "8" "1"
15.5 94.916731812 -0.793353613 -0.608761074 "18111" "8" "1"
16 81.532360273 -0.866025635 -0.4999996 "18111" "8" "1"
16.5 110.83027754 -0.923879715 -0.382682992 "18111" "8" "1"
17 88.765672117 -0.965925953 -0.258818571 "18111" "8" "1"
17.5 54.325840624 -0.991444927 -0.130525691 "18111" "8" "1"
18 53.196893405 -1 5.1961531e-07 "18111" "8" "1"
18.5 46.293427668 -0.991444792 0.1305267217 "18111" "8" "1"
19 47.181411931 -0.965925684 0.2588195749 "18111" "8" "1"
19.5 40.16516188 -0.923879317 0.3826839524 "18111" "8" "1"
20 38.474666049 -0.866025115 0.5000005 "18111" "8" "1"
20.5 44.035670559 -0.79335298 0.6087618985 "18111" "8" "1"
21 43.772247595 -0.707106353 0.7071072098 "18111" "8" "1"
21.5 44.035670559 -0.608760937 0.7933537181 "18111" "8" "1"
22 37.599847705 -0.49999945 0.8660257213 "18111" "8" "1"
22.5 26.416795472 -0.382682832 0.9238797811 "18111" "8" "1"
