"Group" "Pig" "WeightNo" "Weight" "ExpDays" "FUp" "Gain" "AccFUp" "Days"
"1" "923" 1 61 108 0 0 0 0
"1" "923" 2 71 115 3.51 10 24.57 7
"1" "923" 3 77.6 122 2.99 16.6 45.5 14
"1" "923" 4 83.5 129 2.07 22.5 59.99 21
"1" "923" 5 90 136 3.51 29 84.56 28
"1" "923" 6 98.1 143 3.08 37.1 106.12 35
"1" "923" 7 104 148 3.58 43 124.02 40
"1" "912" 1 62.8 108 0 0 0 0
"1" "912" 2 73.2 115 2.96 10.4 20.72 7
"1" "912" 3 79.7 122 2.97 16.9 41.51 14
"1" "912" 4 88.4 129 3.49 25.6 65.94 21
"1" "912" 5 95.2 136 3.7 32.4 91.84 28
"1" "912" 6 100 141 3.28 37.2 108.24 33
"1" "28" 1 62 115 0 0 0 0
"1" "28" 2 73 122 3.58 11 25.06 7
"1" "28" 3 82.7 129 3.94 20.7 52.64 14
"1" "28" 4 90 136 4.01 28 80.71 21
"1" "28" 5 96.8 143 4.37 34.8 111.3 28
"1" "28" 6 104 148 3.52 42 128.9 33
"1" "1" 1 57 122 0 0 0 0
"1" "1" 2 66 129 3.21 9 22.47 7
"1" "1" 3 71.8 136 3.3 14.8 45.57 14
"1" "1" 4 78 142 2.93 21 63.15 20
"1" "1" 5 87.2 150 3.34 30.2 89.87 28
"1" "1" 6 96.6 157 3.54 39.6 114.65 35
"1" "1" 7 101 162 2.78 44 128.55 40
"1" "236" 1 64 142 0 0 0 0
"1" "236" 2 76.8 150 3.16 12.8 25.28 8
"1" "236" 3 85.7 157 4.74 21.7 58.46 15
"1" "236" 4 87.1 165 2.53 23.1 78.7 23
"1" "236" 5 97 171 4.28 33 104.38 29
"1" "236" 6 107 176 5.06 43 129.68 34
"2" "922" 1 63 108 0 0 0 0
"2" "922" 2 72.2 115 3.26 9.2 22.82 7
"2" "922" 3 80.8 122 3.19 17.8 45.15 14
"2" "922" 4 89 129 2.9 26 65.45 21
"2" "922" 5 96.1 136 3.31 33.1 88.62 28
"2" "922" 6 96.2 141 2.28 33.2 100.02 33
"2" "913" 1 62.1 108 0 0 0 0
"2" "913" 2 73.6 115 3.01 11.5 21.07 7
"2" "913" 3 82 122 3.29 19.9 44.1 14
"2" "913" 4 88.2 129 2.97 26.1 64.89 21
"2" "913" 5 94.6 136 3.7 32.5 90.79 28
"2" "913" 6 103 141 3.84 40.9 109.99 33
"2" "31" 1 59.5 115 0 0 0 0
"2" "31" 2 71 122 3.94 11.5 27.58 7
"2" "31" 3 79 129 4.01 19.5 55.65 14
"2" "31" 4 86 136 3.7 26.5 81.55 21
"2" "31" 5 93.2 143 3.57 33.7 106.54 28
"2" "31" 6 99 148 3.45 39.5 123.79 33
"2" "994" 1 59.4 122 0 0 0 0
"2" "994" 2 67 129 2.36 7.6 16.52 7
"2" "994" 3 72.7 136 3.03 13.3 37.73 14
"2" "994" 4 79.2 142 2.6 19.8 53.33 20
"2" "994" 5 85.6 150 2.9 26.2 76.53 28
"2" "994" 6 92.8 157 3.1 33.4 98.23 35
"2" "994" 7 96.9 162 2.56 37.5 111.03 40
"2" "234" 1 63.1 142 0 0 0 0
"2" "234" 2 70.4 150 2.78 7.3 22.24 8
"2" "234" 3 81.5 157 3.56 18.4 47.16 15
"2" "234" 4 86.8 165 4.51 23.7 83.24 23
"2" "234" 5 95.5 171 4.13 32.4 108.02 29
"2" "234" 6 101 176 3.84 37.9 127.22 34
"3" "925" 1 60.5 108 0 0 0 0
"3" "925" 2 71.2 115 3.14 10.7 21.98 7
"3" "925" 3 77 122 2.81 16.5 41.65 14
"3" "925" 4 84.9 129 3.41 24.4 65.52 21
"3" "925" 5 91.6 136 3.21 31.1 87.99 28
"3" "925" 6 85.5 143 2.48 25 105.35 35
"3" "925" 7 102 148 3.47 41.5 122.7 40
"3" "914" 1 60.3 108 0 0 0 0
"3" "914" 2 70.8 115 3.33 10.5 23.31 7
"3" "914" 3 74.8 122 2.6 14.5 41.51 14
"3" "914" 4 85.3 129 3.39 25 65.24 21
"3" "914" 5 92.9 136 3.54 32.6 90.02 28
"3" "914" 6 94.8 142 2.17 34.5 103.04 34
"3" "914" 7 103 148 3.9 42.7 126.44 40
"3" "26" 1 63 115 0 0 0 0
"3" "26" 2 76.4 122 3.4 13.4 23.8 7
"3" "26" 3 82.8 129 2.87 19.8 43.89 14
"3" "26" 4 91.6 136 3.21 28.6 66.36 21
"3" "26" 5 98.8 141 3.66 35.8 84.66 26
"3" "998" 1 59.2 122 0 0 0 0
"3" "998" 2 67.7 129 2.86 8.5 20.02 7
"3" "998" 3 73.7 136 3.14 14.5 42 14
"3" "998" 4 82.9 142 3.65 23.7 63.9 20
"3" "998" 5 88 150 2.66 28.8 85.18 28
"3" "998" 6 94.5 157 3.59 35.3 110.31 35
"3" "998" 7 98.2 162 2.38 39 122.21 40
"3" "239" 1 63 142 0 0 0 0
"3" "239" 2 76.8 150 3.08 13.8 24.64 8
"3" "239" 3 86 157 3.67 23 50.33 15
"3" "239" 4 94 165 2.85 31 73.13 23
"3" "239" 5 99.6 170 3.6 36.6 91.13 28
"4" "921" 1 60 108 0 0 0 0
"4" "921" 2 70.1 115 2.96 10.1 20.72 7
"4" "921" 3 77.8 122 2.83 17.8 40.53 14
"4" "921" 4 86.7 129 3.2 26.7 62.93 21
"4" "921" 5 90.4 136 2.44 30.4 80.01 28
"4" "921" 6 97.6 143 2.23 37.6 95.62 35
"4" "921" 7 103 148 3.3 43 112.12 40
"4" "915" 1 62 108 0 0 0 0
"4" "915" 2 72.4 115 3.34 10.4 23.38 7
"4" "915" 3 79.9 122 2.89 17.9 43.61 14
"4" "915" 4 89.2 129 2.91 27.2 63.98 21
"4" "915" 5 99.5 136 3.5 37.5 88.48 28
"4" "915" 6 101 141 2.32 39 100.08 33
"4" "29" 1 62 115 0 0 0 0
"4" "29" 2 71.2 122 3.08 9.2 21.56 7
"4" "29" 3 78.1 129 2.91 16.1 41.93 14
"4" "29" 4 86.3 136 2.7 24.3 60.83 21
"4" "29" 5 93.2 142 2.85 31.2 77.93 27
"4" "29" 6 99.6 148 3.18 37.6 97.01 33
"4" "996" 1 60.5 122 0 0 0 0
"4" "996" 2 71.7 129 3.26 11.2 22.82 7
"4" "996" 3 79.1 136 3.23 18.6 45.43 14
"4" "996" 4 84.9 142 2.13 24.4 58.21 20
"4" "996" 5 92 150 2.7 31.5 79.81 28
"4" "996" 6 97.2 157 3.17 36.7 102 35
"4" "996" 7 103 162 2.18 42.5 112.9 40
"4" "241" 1 60.8 142 0 0 0 0
"4" "241" 2 69 150 3.05 8.2 24.4 8
"4" "241" 3 76 157 3.37 15.2 47.99 15
"4" "241" 4 83.1 165 2.89 22.3 71.11 23
"4" "241" 5 91 171 3.5 30.2 92.11 29
"4" "241" 6 98.4 178 3.35 37.6 115.56 36
"4" "241" 7 105 184 3.35 44.2 135.66 42
"5" "924" 1 60.8 108 0 0 0 0
"5" "924" 2 71.4 115 3.1 10.6 21.7 7
"5" "924" 3 77.6 122 2.86 16.8 41.72 14
"5" "924" 4 79.7 129 1.61 18.9 52.99 21
"5" "924" 5 81 136 1.31 20.2 62.16 28
"5" "924" 6 82.2 143 1.52 21.4 72.8 35
"5" "924" 7 82.2 148 0.92 21.4 77.4 40
"5" "911" 1 62.1 108 0 0 0 0
"5" "911" 2 69.6 115 2.66 7.5 18.62 7
"5" "911" 3 75.6 122 1.84 13.5 31.5 14
"5" "911" 4 82.3 129 2.99 20.2 52.43 21
"5" "911" 5 89 136 2.79 26.9 71.96 28
"5" "911" 6 95.7 143 2.32 33.6 88.2 35
"5" "911" 7 101 148 2.48 38.9 100.6 40
"5" "27" 1 62.1 115 0 0 0 0
"5" "27" 2 68.2 122 2.56 6.1 17.92 7
"5" "27" 3 76.9 129 2.83 14.8 37.73 14
"5" "27" 4 84.5 136 2.79 22.4 57.26 21
"5" "27" 5 92.4 143 2.6 30.3 75.46 28
"5" "27" 6 99.4 148 2.87 37.3 89.81 33
"5" "995" 1 60.2 122 0 0 0 0
"5" "995" 2 68.9 129 2.56 8.7 17.92 7
"5" "995" 3 76.7 136 2.76 16.5 37.24 14
"5" "995" 4 81.9 142 2.57 21.7 52.66 20
"5" "995" 5 89.4 150 2.99 29.2 76.58 28
"5" "995" 6 98 157 3.33 37.8 99.89 35
"5" "995" 7 101 162 2.34 40.8 111.59 40
"5" "237" 1 62 142 0 0 0 0
"5" "237" 2 69.4 150 2.65 7.4 21.2 8
"5" "237" 3 76.5 157 2.46 14.5 38.42 15
"5" "237" 4 82.7 165 2.33 20.7 57.06 23
"5" "237" 5 88.8 171 3.25 26.8 76.56 29
