Block Iblock N P K Germin
1 1 0 1 2 11
1 1 1 2 2 11
1 1 2 2 0 13
1 1 2 0 2 12
1 1 1 0 1 11
1 1 0 2 1 30
1 1 0 0 0 41
1 1 1 1 0 21
1 1 2 1 1 21
1 2 2 0 1 42
1 2 1 2 1 20
1 2 2 1 0 24
1 2 0 1 1 38
1 2 1 1 2 39
1 2 1 0 0 61
1 2 0 0 2 40
1 2 2 2 2 46
1 2 0 2 0 44
1 3 1 1 1 46
1 3 1 0 2 48
1 3 2 2 1 58
1 3 0 0 1 53
1 3 0 1 0 54
1 3 2 1 2 37
1 3 0 2 2 41
1 3 1 2 0 25
1 3 2 0 0 32
2 1 1 2 1 39
2 1 2 2 0 34
2 1 1 0 2 31
2 1 2 0 1 34
2 1 0 0 0 40
2 1 0 2 2 31
2 1 2 1 2 26
2 1 0 1 1 35
2 1 1 1 0 38
2 2 1 0 0 32
2 2 0 1 2 37
2 2 2 1 0 37
2 2 2 2 1 33
2 2 2 0 2 27
2 2 0 2 0 21
2 2 1 1 1 12
2 2 0 0 1 30
2 2 1 2 2 22
2 3 0 1 0 26
2 3 1 2 0 16
2 3 2 0 0 6
2 3 0 2 1 13
2 3 2 1 1 12
2 3 2 2 2 12
2 3 0 0 2 16
2 3 1 1 2 19
2 3 1 0 1 14
3 1 1 0 1 26
3 1 2 1 0 17
3 1 2 2 1 21
3 1 0 0 0 38
3 1 1 1 2 22
3 1 0 1 1 19
3 1 1 2 0 18
3 1 2 0 2 22
3 1 0 2 2 14
3 2 0 2 0 19
3 2 2 1 1 25
3 2 1 2 1 18
3 2 1 1 0 27
3 2 2 2 2 20
3 2 0 0 1 40
3 2 0 1 2 30
3 2 1 0 2 28
3 2 2 0 0 25
3 3 2 2 0 19
3 3 1 2 2 19
3 3 1 0 0 42
3 3 2 0 1 11
3 3 0 1 0 36
3 3 1 1 1 37
3 3 0 0 2 29
3 3 0 2 1 27
3 3 2 1 2 13
4 1 1 1 2 37
4 1 1 2 1 31
4 1 0 1 0 44
4 1 0 2 2 25
4 1 1 0 0 39
4 1 2 1 1 28
4 1 2 0 2 35
4 1 0 0 1 37
4 1 2 2 0 26
4 2 0 2 0 47
4 2 0 0 2 33
4 2 2 2 1 15
4 2 1 2 2 29
4 2 0 1 1 38
4 2 2 1 2 27
4 2 2 0 0 38
4 2 1 0 1 31
4 2 1 1 0 32
4 3 2 2 2 15
4 3 2 0 1 42
4 3 0 1 2 41
4 3 2 1 0 24
4 3 0 0 0 52
4 3 1 1 1 28
4 3 1 2 0 30
4 3 1 0 2 50
4 3 0 2 1 29
