day sucrose leucine density
1 1 1 2.47E+07
1 1 2 3.81E+07
1 1 3 3.05E+08
1 2 1 1.22E+07
1 2 2 8.93E+07
1 2 3 1.54E+09
1 3 1 2.34E+07
1 3 2 9.58E+08
1 3 3 6.36E+09
1 4 1 5.00E+08
1 4 2 9.68E+08
1 4 3 2.52E+09
2 1 1 9.13E+07
2 1 2 1.33E+08
2 1 3 6.29E+07
2 2 1 1.68E+08
2 2 2 3.56E+08
2 2 3 2.85E+09
2 3 1 3.30E+08
2 3 2 9.37E+08
2 3 3 6.92E+09
2 4 1 3.65E+08
2 4 2 1.16E+09
2 4 3 8.72E+09
3 1 1 2.88E+06
3 1 2 1.65E+07
3 1 3 1.51E+08
3 2 1 3.22E+07
3 2 2 2.62E+08
3 2 3 3.80E+08
3 3 1 3.00E+08
3 3 2 6.68E+09
3 3 3 3.59E+09
3 4 1 5.05E+08
3 4 2 9.25E+08
3 4 3 1.70E+10
4 1 1 7.83E+05
4 1 2 2.90E+07
4 1 3 2.25E+08
4 2 1 3.14E+06
4 2 2 5.23E+07
4 2 3 2.88E+09
4 3 1 9.50E+08
4 3 2 2.87E+08
4 3 3 2.31E+09
4 4 1 3.05E+09
4 4 2 4.70E+08
4 4 3 1.32E+10
