year A B
1855 29.62 33
1856 32.38 36.91
1857 43.75 44.84
1858 37.56 38.94
1859 30 34.66
1860 32.62 27.72
1861 33.75 34.94
1862 43.44 35.88
1863 55.56 53.66
1864 51.06 45.78
1865 44.06 40.22
1866 32.5 29.91
1867 29.13 22.16
1868 47.81 39.19
1869 39 28.25
1870 45.5 41.37
1871 34.44 22.31
1872 40.69 29.06
1873 35.81 22.75
1874 38.19 39.56
1875 30.5 26.63
1876 33.31 25.5
1877 40.12 19.12
1878 37.19 32.19
1879 21.94 17.25
1880 34.06 34.31
1881 35.44 26.13
1882 31.81 34.75
1883 43.38 36.31
1884 40.44 37.75
