pa cg va y number
1 A 1 289 8
1 A 2 282 8
1 A 3 133 4
1 A 4 160 1
1 B 1 372 10
1 B 2 249 28
1 B 3 288 1
1 B 4 11 1
1 C 1 189 9
1 C 2 288 13
1 C 3 179 1
1 C 4 NA 0
1 D 1 763 3
1 D 2 850 2
1 D 3 NA 0
1 D 4 NA 0
2 A 1 302 18
2 A 2 194 31
2 A 3 135 10
2 A 4 166 4
2 B 1 420 59
2 B 2 243 96
2 B 3 196 13
2 B 4 135 3
2 C 1 268 44
2 C 2 343 39
2 C 3 293 7
2 C 4 104 2
2 D 1 407 24
2 D 2 320 18
2 D 3 205 2
2 D 4 NA 0
3 A 1 268 56
3 A 2 285 55
3 A 3 181 17
3 A 4 110 12
3 B 1 275 125
3 B 2 243 172
3 B 3 179 36
3 B 4 264 10
3 C 1 334 163
3 C 2 274 129
3 C 3 208 18
3 C 4 150 8
3 D 1 383 72
3 D 2 305 50
3 D 3 116 6
3 D 4 636 1
4 A 1 236 43
4 A 2 270 53
4 A 3 160 15
4 A 4 110 12
4 B 1 259 179
4 B 2 226 211
4 B 3 161 39
4 B 4 107 19
4 C 1 340 197
4 C 2 260 125
4 C 3 189 30
4 C 4 104 9
4 D 1 400 104
4 D 2 349 55
4 D 3 147 8
4 D 4 65 2
5 A 1 207 43
5 A 2 129 73
5 A 3 157 21
5 A 4 113 14
5 B 1 208 191
5 B 2 214 219
5 B 3 149 46
5 B 4 137 23
5 C 1 251 210
5 C 2 232 131
5 C 3 204 32
5 C 4 141 8
5 D 1 233 119
5 D 2 325 43
5 D 3 207 4
5 D 4 NA 0
6 A 1 254 90
6 A 2 213 98
6 A 3 149 35
6 A 4 98 22
6 B 1 218 380
6 B 2 209 434
6 B 3 172 97
6 B 4 110 59
6 C 1 239 401
6 C 2 250 253
6 C 3 174 50
6 C 4 129 15
6 D 1 387 199
6 D 2 299 88
6 D 3 325 8
6 D 4 137 9
7 A 1 251 69
7 A 2 227 120
7 A 3 172 42
7 A 4 98 35
7 B 1 196 366
7 B 2 229 353
7 B 3 164 95
7 B 4 132 45
7 C 1 268 310
7 C 2 250 148
7 C 3 175 33
7 C 4 152 13
7 D 1 391 105
7 D 2 228 46
7 D 3 346 10
7 D 4 167 1
8 A 1 264 64
8 A 2 198 100
8 A 3 167 43
8 A 4 114 53
8 B 1 224 228
8 B 2 193 233
8 B 3 178 73
8 B 4 101 44
8 C 1 269 183
8 C 2 258 103
8 C 3 227 20
8 C 4 119 6
8 D 1 385 62
8 D 2 324 22
8 D 3 192 6
8 D 4 123 6
