insecticide depth dam1 exam1 dam2 exam2 dam3 exam3 
diazinon     1.0 120 187 145 181 123 184
diazinon     2.5  60 184  85 191 113 171
diazinon     5.0  35 179  23 181  33 179
diazinon    10.0   5 178  40 184  18 171
diazinon    25.0  66 182 104 186 106 181
disulfoton   1.0  97 187 128 173 112 179
disulfoton   2.5  85 186  95 167 137 194
disulfoton   5.0  72 190  89 184  92 192
disulfoton  10.0  49 188  50 187  65 186
disulfoton  25.0 132 179 122 182 120 179
control      0   138 187 169 184 163 175
control      0   156 176 169 190 159 175


