catid  sex breed weight age f1 y1  f2 y2 f3 y3  f4 y4 f8 y8 f9 y9 f10 y10 f11 y11
  1  1  DSH  6.0 15.0    4 5  1 4  3 5  2 1  2 4  3 5  1 5  4 5
  2  1  DSH  NA.  7.0    2 4  3 5  1 1  4 3  4 4  1 1  3 4  2 2
  3  0  DSH  4.0 15.0    3 4  4 4  2 4  1 4  1 4  2 4  4 4  3 4
  4  0  DSH  5.0  1.0    1 3  2 4  4 4  3 2  3 1  4 1  2 1  1 1
  5  1  DSH  5.0  5.0    4 1  1 4  3 1  2 1  2 1  3 1  1 1  4 1
  6  0  DSH  3.0   .7    2 5  3 5  1 1  4 5  4 5  1 1  3 1  2 5
  7  1  BBL  6.0  7.0    3 1  4 1  2 1  1 1  1 1  2 2  4 1  3 1
  8  1  DSH  4.0  7.0    1 5  2 5  4 1  3 1  3 1  4 1  2 3  1 3
  9  1  DSH  3.5  6.0    4 4  1 2  3 2  2 2  2 4  3 2  1 2  4 2
 10  1  DSH  5.0  7.0    2 1  3 1  1 1  4 1  4 1  1 1  3 1  2 1
 11  0  DLH  3.5  4.0    3 4  4 4  2 5  1 5  1 2  2 5  4 5  3 5
 12  1  DSH  9.0  8.0    1 5  2 5  4 5  3 5  3 5  4 5  2 5  1 5
 13  0  DSH  3.0  2.0    4 5  1 5  3 5  2 5  2 5  3 5  1 2  4 5
 14  1  DSH  4.0   .5    2 3  3 1  1 1  4 1  4 1  1 1  3 1  2 1
 15  1  DSH  NA.  6.0    3 4  4 4  2 5  1 4  1 4  2 4  4 4  3 4
 16  1  DSH  4.0   .7    1 4  2 4  4 4  3 4  3 4  4 4  2 4  1 4
 17  1  DSH  8.0  3.5    4 1  1 1  3 1  2 1  2 1  3 1  1 1  4 1
 18  0  DSH  4.0  5.0    2 4  3 5  1 4  4 5  4 4  1 4  3 4  2 4
 19  1  SIA  NA.  NA.    3 1  4 1  2 1  1 5  1 5  2 5  4 4  3 1
 20  1  DSH  4.0   .5    1 4  2 4  4 4  3 4  3 4  4 2  2 4  1 2
 21  0  DSH  4.0   .5    4 5  1 4  3 4  2 5  2 4  3 5  1 3  4 4
 22  0  DSH  4.0  1.5    2 4  3 4  1 5  4 4  4 5  1 1  3 4  2 1
 23  0  DSH  4.0  4.0    3 1  4 1  2 1  1 1  1 1  2 1  4 1  3 1
 24  0  DSH  3.0  3.0    1 1  2 4  4 1  3 1  3 1  4 1  2 1  1 1
 25  0  DSH  2.0   .5    4 4  1 4  3 4  2 4  2 4  3 4  1 4  4 4
 26  1  DSH  NA. 15.0    2 5  3 5  1 4  4 5  4 5  1 5  3 4  2 5
 27  1  DSH  3.0  4.0    3 5  4 4  2 5  1 5  1 5  2 5  4 5  3 5
