ratio age sex
0.46 0.5 boy
0.47 1.5 boy
0.56 2.5 boy
0.61 3.5 boy
0.61 4.5 boy
0.67 5.5 boy
0.68 6.5 boy
0.78 7.5 boy
0.69 8.5 boy
0.74 9.5 boy
0.77 10.5 boy
0.78 11.5 boy
0.75 12.5 boy
0.8 13.5 boy
0.78 14.5 boy
0.82 15.5 boy
0.77 16.5 boy
0.8 17.5 boy
0.81 18.5 boy
0.78 19.5 boy
0.87 20.5 boy
0.8 21.5 boy
0.83 22.5 boy
0.81 23.5 boy
0.88 24.5 boy
0.81 25.5 boy
0.83 26.5 boy
0.82 27.5 boy
0.82 28.5 boy
0.86 29.5 boy
0.82 30.5 boy
0.85 31.5 boy
0.88 32.5 boy
0.86 33.5 boy
0.91 34.5 boy
0.87 35.5 boy
0.87 36.5 boy
0.87 37.5 boy
0.85 38.5 boy
0.9 39.5 boy
0.87 40.5 boy
0.91 41.5 boy
0.9 42.5 boy
0.93 43.5 boy
0.89 44.5 boy
0.89 45.5 boy
0.92 46.5 boy
0.89 47.5 boy
0.92 48.5 boy
0.96 49.5 boy
0.92 50.5 boy
0.91 51.5 boy
0.95 52.5 boy
0.93 53.5 boy
0.93 54.5 boy
0.98 55.5 boy
0.95 56.5 boy
0.97 57.5 boy
0.97 58.5 boy
0.96 59.5 boy
0.97 60.5 boy
0.94 61.5 boy
0.96 62.5 boy
1.03 63.5 boy
0.99 64.5 boy
1.01 65.5 boy
0.99 66.5 boy
0.99 67.5 boy
0.99 68.5 boy
1.01 69.5 boy
0.99 70.5 boy
1.04 71.5 boy
0.453449772418554 0.5 girl
0.513362793535493 1.5 girl
0.606342330087926 2.5 girl
0.463675251262434 3.5 girl
0.580887642194113 4.5 girl
0.592451242027503 5.5 girl
0.617825946621677 6.5 girl
0.555869011950052 7.5 girl
0.611795643288181 8.5 girl
0.71419935570028 9.5 girl
0.680440681942826 10.5 girl
0.777359441823028 11.5 girl
0.777868464306807 12 girl
0.747816114156328 13 girl
0.758215253481351 14 girl
0.740164285517337 15 girl
0.766578244591368 16 girl
0.777846466068349 17 girl
0.76141446258608 18 girl
0.78523753283853 19 girl
0.77425210704614 20 girl
0.75582140035884 21 girl
0.759082748216062 22 girl
0.753284344407787 23 girl
0.796788046517079 24 girl
0.76417301012639 25 girl
0.770907880458591 26 girl
0.757585165489208 27 girl
0.781564797153482 28 girl
0.773816395684648 29 girl
0.774182772012927 30 girl
0.805908262099953 31 girl
0.786829143744502 32 girl
0.81058398412297 33 girl
0.812037438602576 34 girl
0.790915358957484 35 girl
0.777967685521754 36 girl
0.82300271100772 37 girl
0.8010338800814 38 girl
0.803523065356375 39 girl
0.856157915183074 40 girl
0.844991537181689 41 girl
0.800648281800628 42 girl
0.85165742356172 43 girl
0.805047682471953 44 girl
0.834104403103478 45 girl
0.859448347384848 46 girl
0.852293105506771 47 girl
0.847790624110596 48 girl
0.822219808583277 49 girl
0.836775631873695 50 girl
0.849177606283888 51 girl
0.806042693035938 52 girl
0.854832610211716 53 girl
0.829690518629683 54 girl
0.844594469958107 55 girl
0.827681813798335 56 girl
0.865443990667886 57 girl
0.89036740781867 58 girl
0.872504834296163 59 girl
0.875099058030954 60 girl
0.856984457059734 61 girl
0.871606811097981 62 girl
0.866637276454002 63 girl
0.867173322379493 64 girl
0.88738384464733 65 girl
0.871427683049799 66 girl
0.902157485228192 67 girl
0.898150311726592 68 girl
0.895270393939418 69 girl
0.910554630537486 70 girl
0.893167025602907 71 girl
