"cow_no" "milk_date" "dfc" "yield"
100 2004-05-02 5 12162
100 2004-05-02 5 13396
100 2004-05-02 5 10746
100 2004-05-03 6 12227
100 2004-05-03 6 12590
100 2004-05-03 6 15484
100 2004-05-04 7 14171
100 2004-05-04 7 11284
100 2004-05-04 7 11504
100 2004-05-04 7 12677
100 2004-05-05 8 14338
100 2004-05-05 8 12812
100 2004-05-06 9 11838
100 2004-05-06 9 12650
100 2004-05-06 9 10096
100 2004-05-07 10 14428
100 2004-05-07 10 9252
100 2004-05-08 11 13846
100 2004-05-08 11 13323
100 2004-05-09 12 14283
100 2004-05-10 13 18722
100 2004-05-10 13 16145
100 2004-05-11 14 12366
100 2004-05-11 14 12157
100 2004-05-11 14 11403
100 2004-05-12 15 13542
100 2004-05-12 15 13658
100 2004-05-12 15 10064
100 2004-05-13 16 14449
100 2004-05-13 16 12804
100 2004-05-13 16 12748
100 2004-05-14 17 11333
100 2004-05-14 17 13157
100 2004-05-14 17 11355
100 2004-05-15 18 12626
100 2004-05-15 18 11730
100 2004-05-15 18 10043
100 2004-05-16 19 12371
100 2004-05-16 19 13817
100 2004-05-16 19 11703
100 2004-05-17 20 9467
100 2004-05-17 20 13614
100 2004-05-17 20 11199
100 2004-05-18 21 11297
100 2004-05-18 21 14081
100 2004-05-18 21 12687
100 2004-05-19 22 12368
100 2004-05-19 22 12369
100 2004-05-19 22 13802
100 2004-05-19 22 11630
100 2004-05-20 23 12864
100 2004-05-20 23 14487
100 2004-05-20 23 11951
100 2004-05-21 24 13719
100 2004-05-21 24 14694
100 2004-05-21 24 12578
100 2004-05-22 25 11627
100 2004-05-22 25 13671
100 2004-05-22 25 12406
100 2004-05-23 26 11789
100 2004-05-23 26 10136
100 2004-05-23 26 13500
100 2004-05-23 26 11480
100 2004-05-24 27 11016
100 2004-05-24 27 18832
100 2004-05-25 28 12547
100 2004-05-25 28 12463
100 2004-05-25 28 12356
100 2004-05-26 29 14651
100 2004-05-26 29 13667
100 2004-05-26 29 14747
100 2004-05-27 30 10924
100 2004-05-27 30 10938
100 2004-05-27 30 14822
100 2004-05-28 31 13678
100 2004-05-28 31 13489
100 2004-05-28 31 13647
100 2004-05-28 31 9534
100 2004-05-29 32 11873
100 2004-05-29 32 12614
100 2004-05-29 32 9838
100 2004-05-30 33 11892
100 2004-05-30 33 9307
100 2004-05-30 33 9531
100 2004-05-31 34 9030
100 2004-05-31 34 20088
100 2004-06-01 35 12495
100 2004-06-01 35 14468
100 2004-06-01 35 13945
100 2004-06-02 36 14837
100 2004-06-02 36 16657
100 2004-06-03 37 13212
100 2004-06-03 37 10956
100 2004-06-03 37 13422
100 2004-06-03 37 11931
100 2004-06-04 38 14252
100 2004-06-04 38 13890
100 2004-06-04 38 11817
100 2004-06-05 39 14082
100 2004-06-05 39 11968
100 2004-06-05 39 10816
100 2004-06-06 40 12799
100 2004-06-06 40 12031
100 2004-06-06 40 11681
100 2004-06-06 40 11212
100 2004-06-07 41 8787
100 2004-06-08 42 12148
100 2004-06-08 42 11686
100 2004-06-09 43 12223
100 2004-06-10 44 13264
100 2004-06-10 44 12875
100 2004-06-10 44 14809
100 2004-06-11 45 11288
100 2004-06-11 45 13356
100 2004-06-11 45 13953
100 2004-06-11 45 13252
100 2004-06-12 46 12521
100 2004-06-12 46 15061
100 2004-06-12 46 12824
100 2004-06-13 47 13435
100 2004-06-13 47 13421
100 2004-06-13 47 13103
100 2004-06-14 48 11536
100 2004-06-14 48 13347
100 2004-06-14 48 11247
100 2004-06-15 49 12292
100 2004-06-15 49 18113
100 2004-06-15 49 13971
100 2004-06-16 50 13144
100 2004-06-16 50 13640
100 2004-06-16 50 11814
100 2004-06-17 51 13640
100 2004-06-17 51 15371
100 2004-06-17 51 11812
100 2004-06-18 52 11544
100 2004-06-18 52 11133
100 2004-06-18 52 14272
100 2004-06-19 53 11854
100 2004-06-19 53 12893
100 2004-06-20 54 13303
100 2004-06-20 54 11997
100 2004-06-21 55 13359
100 2004-06-21 55 11118
100 2004-06-21 55 11187
100 2004-06-21 55 11671
100 2004-06-22 56 16787
100 2004-06-22 56 19125
100 2004-06-23 57 12162
100 2004-06-23 57 11499
100 2004-06-24 58 14921
100 2004-06-24 58 15002
100 2004-06-25 59 12277
100 2004-06-25 59 15245
100 2004-06-25 59 11484
100 2004-06-25 59 11330
100 2004-06-26 60 15250
100 2004-06-26 60 12566
100 2004-06-26 60 12401
100 2004-06-27 61 14015
100 2004-06-27 61 11186
100 2004-06-27 61 10457
100 2004-06-28 62 10905
100 2004-06-28 62 13276
100 2004-06-28 62 13712
100 2004-06-29 63 13930
100 2004-06-29 63 13753
100 2004-06-29 63 13390
100 2004-06-30 64 13673
100 2004-06-30 64 11544
100 2004-06-30 64 14210
100 2004-07-01 65 13232
100 2004-07-01 65 11658
100 2004-07-01 65 13469
100 2004-07-02 66 11966
100 2004-07-02 66 11677
100 2004-07-02 66 14527
100 2004-07-02 66 10585
100 2004-07-03 67 9824
100 2004-07-03 67 12013
100 2004-07-03 67 10799
100 2004-07-04 68 12771
100 2004-07-04 68 12958
100 2004-07-04 68 11095
100 2004-07-05 69 10509
100 2004-07-05 69 12164
100 2004-07-05 69 13661
100 2004-07-05 69 10718
100 2004-07-06 70 12162
100 2004-07-06 70 10293
100 2004-07-06 70 13670
100 2004-07-07 71 15367
100 2004-07-07 71 11338
100 2004-07-07 71 10891
100 2004-07-08 72 12434
100 2004-07-08 72 12994
100 2004-07-08 72 12760
100 2004-07-09 73 15759
100 2004-07-09 73 11699
100 2004-07-09 73 10841
100 2004-07-10 74 12814
100 2004-07-10 74 9321
100 2004-07-10 74 12373
100 2004-07-11 75 12500
100 2004-07-11 75 10564
100 2004-07-11 75 16919
100 2004-07-12 76 16554
100 2004-07-12 76 15928
100 2004-07-13 77 13280
100 2004-07-13 77 9170
100 2004-07-13 77 11301
100 2004-07-13 77 9915
100 2004-07-14 78 13519
100 2004-07-14 78 10297
100 2004-07-14 78 11203
100 2004-07-15 79 10709
100 2004-07-15 79 14442
100 2004-07-15 79 10780
100 2004-07-16 80 14242
100 2004-07-16 80 11265
100 2004-07-17 81 12458
100 2004-07-17 81 9642
100 2004-07-17 81 10991
100 2004-07-18 82 10807
100 2004-07-18 82 11107
100 2004-07-18 82 10609
100 2004-07-19 83 12620
100 2004-07-19 83 12167
100 2004-07-19 83 10346
100 2004-07-20 84 9998
100 2004-07-20 84 14586
100 2004-07-20 84 14740
100 2004-07-21 85 12296
100 2004-07-21 85 14351
100 2004-07-21 85 15606
100 2004-07-22 86 17993
100 2004-07-22 86 12735
100 2004-07-22 86 9469
100 2004-07-23 87 13964
100 2004-07-23 87 12007
100 2004-07-23 87 8860
100 2004-07-24 88 12678
100 2004-07-24 88 15849
100 2004-07-25 89 12336
100 2004-07-25 89 13035
100 2004-07-25 89 12466
100 2004-07-26 90 11300
100 2004-07-26 90 10102
100 2004-07-26 90 13083
100 2004-07-27 91 11440
100 2004-07-27 91 9803
100 2004-07-27 91 11734
100 2004-07-28 92 12030
100 2004-07-28 92 12374
100 2004-07-28 92 12033
100 2004-07-29 93 11013
100 2004-07-29 93 14836
100 2004-07-29 93 9811
100 2004-07-30 94 9799
100 2004-07-30 94 11792
100 2004-07-30 94 10562
100 2004-07-30 94 11789
100 2004-07-31 95 12763
100 2004-07-31 95 11366
100 2004-07-31 95 9651
100 2004-08-01 96 13079
100 2004-08-01 96 11512
100 2004-08-01 96 13620
100 2004-08-02 97 13274
100 2004-08-02 97 11838
100 2004-08-02 97 11855
100 2004-08-03 98 12470
100 2004-08-03 98 12373
100 2004-08-04 99 11182
100 2004-08-04 99 13387
100 2004-08-04 99 10638
100 2004-08-05 100 11494
100 2004-08-05 100 14630
100 2004-08-05 100 13116
100 2004-08-06 101 14382
100 2004-08-06 101 9406
100 2004-08-06 101 10057
100 2004-08-07 102 10889
100 2004-08-07 102 9478
100 2004-08-07 102 10491
100 2004-08-08 103 10878
100 2004-08-08 103 11089
100 2004-08-08 103 10941
100 2004-08-09 104 10365
100 2004-08-09 104 8890
