"cow" "lactno" "dfc" "milk"
1 4 1 15.13
1 4 2 23.63
1 4 3 20.76
1 4 4 23.06
1 4 5 26.99
1 4 6 37.01
1 4 7 36.69
1 4 8 34.31
1 4 9 33.86
1 4 10 38.65
1 4 11 37.88
1 4 12 32.46
1 4 13 37.01
1 4 14 39.54
1 4 15 39.83
1 4 16 37.32
1 4 17 39.25
1 4 18 40.66
1 4 19 40.83
1 4 20 51.12
1 4 21 37.97
1 4 22 40.5
1 4 23 40.76
1 4 24 43.43
1 4 25 41.71
1 4 26 42.4
1 4 27 43.14
1 4 28 43.07
1 4 29 40.99
1 4 30 45.11
1 4 31 42.31
1 4 32 41.25
1 4 33 43.35
1 4 34 41.5
1 4 35 44.82
1 4 36 43.74
1 4 37 42.26
1 4 38 40.73
1 4 39 41.15
1 4 40 39.5
1 4 41 38.59
1 4 42 42.03
1 4 43 41.89
1 4 44 40.72
1 4 45 41.12
1 4 46 44.4
1 4 47 39.2
1 4 48 40.78
1 4 49 42.19
1 4 50 40.45
1 4 51 41.37
1 4 52 44.32
1 4 53 39.05
1 4 54 43.33
1 3 55 43.82
1 4 55 41.52
1 3 56 34.81
1 4 56 37.46
1 4 57 17.25
1 3 58 37.52
1 4 58 1.66
1 3 59 37.26
1 4 59 6.77
1 3 60 37.37
1 4 60 8.44
1 3 61 39.19
1 4 61 16.44
1 3 62 37.01
1 4 62 12.02
1 3 63 36.21
1 3 64 41.12
1 3 65 37.42
1 3 66 38.21
1 3 67 32.88
1 3 68 38.04
1 4 68 27.31
1 3 69 39.32
1 4 69 28.31
1 3 70 32.12
1 4 70 29.28
1 3 71 38.48
1 4 71 29.21
1 3 72 33.95
1 4 72 24.11
1 3 73 35.78
1 4 73 28.74
1 3 74 38.52
1 4 74 30.05
1 3 75 34.61
1 4 75 29.25
1 4 76 30.18
1 4 77 31.14
1 3 78 39.64
1 4 78 30.15
1 3 79 35.29
1 4 79 29.51
1 3 80 35.76
1 4 80 28.89
1 3 81 38.05
1 4 81 32.36
1 3 82 33.48
1 4 82 35.04
1 3 83 33.38
1 4 83 30.31
1 3 84 34.41
1 4 84 32.68
1 3 85 32.96
1 4 85 31.63
1 3 86 32.25
1 4 86 32.13
1 3 87 35.48
1 4 87 28.38
1 3 88 30.54
1 4 88 28.64
1 3 89 33
1 4 89 32.39
1 3 90 35.01
1 4 90 27.86
1 3 91 32.09
1 4 91 33.92
1 3 92 34.53
1 4 92 80.57
1 3 93 35.67
1 4 93 28.9
1 3 94 33.85
1 4 94 30.38
1 3 95 33.74
1 4 95 34.27
1 3 96 35.24
1 4 96 30.73
1 3 97 31.92
1 4 97 27.25
1 3 98 33.48
1 4 98 32.86
1 3 99 31.06
1 4 99 32.45
1 3 100 33.02
1 4 100 32.9
1 3 101 34.17
1 4 101 31.58
1 3 102 30.58
1 4 102 32.97
1 3 103 31.98
1 4 103 31.47
1 3 104 28.56
1 4 104 30.72
1 3 105 12.26
1 4 105 28.48
1 3 106 30.28
1 4 106 31
1 3 107 24.45
1 4 107 32.01
1 3 108 24.68
1 4 108 30.72
1 3 109 20.69
1 4 109 31.18
1 3 110 23.18
1 4 110 32.69
1 3 111 12.11
1 4 111 33.93
1 3 112 24.04
1 4 112 30.22
1 3 113 21.92
1 4 113 29.89
1 3 114 22.75
1 4 114 31.96
1 3 115 26.15
1 4 115 27.97
1 3 116 22.27
1 4 116 33.8
1 3 117 24.55
1 4 117 29.34
1 3 118 23.08
1 4 118 30.32
1 3 119 22.66
1 4 119 30.82
1 3 120 22.39
1 4 120 31.45
1 3 121 23.57
1 4 121 30.53
1 3 122 23.54
1 4 122 32.28
1 3 123 24.61
1 4 123 27.88
1 3 124 23.19
1 4 124 26.85
1 3 125 25.66
1 4 125 29.71
1 3 126 23.23
1 4 126 27.51
1 3 127 13.62
1 4 127 30.54
1 3 128 9.48
1 4 128 29.39
1 3 129 21.13
1 4 129 31.86
1 3 130 24
1 4 130 29.16
1 3 131 22.26
1 4 131 31.43
1 3 132 20.23
1 4 132 28.29
1 3 133 18.95
1 4 133 27.48
1 3 134 21.49
1 4 134 27.88
1 3 135 20.44
1 4 135 31.52
1 3 136 20.71
1 4 136 30.75
1 3 137 24.6
1 4 137 25.56
1 3 138 24.33
1 4 138 28.9
1 3 139 16.14
1 4 139 31.28
1 3 140 20.15
1 4 140 21.04
1 3 141 21.13
1 4 141 35.58
1 3 142 22
1 4 142 29.5
1 3 143 20.98
1 4 143 29.87
1 3 144 23.14
1 4 144 30.32
1 3 145 22.96
1 4 145 29.95
1 3 146 21.52
1 4 146 17.3
1 3 147 21.58
1 3 148 20.51
1 3 149 22.18
1 3 150 20.12
1 3 151 20.78
1 3 152 21.2
1 3 153 21.51
1 3 154 12.06
1 3 155 22.16
1 3 156 21.18
1 3 157 21.8
1 3 158 22.35
1 3 159 20.81
1 3 160 19.28
1 3 161 14.56
1 3 162 14.83
1 3 163 7.64
1 3 164 16.27
1 3 165 20.83
1 3 166 21.37
1 3 167 22.53
1 3 168 20.32
1 3 169 21.47
1 3 170 22.63
1 3 171 23.53
1 3 172 23.72
1 3 173 23.57
1 3 174 27.61
1 3 175 24.97
1 3 176 21.37
1 3 177 25.05
1 3 178 24.73
1 3 179 24.49
1 3 180 26.94
1 3 181 25.51
1 3 182 25.42
1 3 183 26.44
1 3 184 25.47
1 3 185 27.8
1 3 186 27.42
1 3 187 26.63
1 3 188 27.22
1 3 189 26.19
1 3 190 25.93
1 3 191 24.93
1 3 192 24.57
1 3 193 25.28
1 3 194 24.53
1 3 195 22.98
1 3 196 19.59
1 3 197 19.13
1 3 198 17.18
1 3 199 20.99
1 3 200 15.65
1 3 201 16.36
1 3 202 21.62
1 3 203 21.47
1 3 204 22.04
1 3 205 22.94
1 3 206 23.87
1 3 207 13.06
1 3 208 22.11
1 3 209 23.07
1 3 210 8.12
1 3 211 20.06
1 3 212 11.78
1 3 213 21.55
1 3 214 11.36
1 3 215 23.82
1 3 216 26.57
1 3 217 22.7
1 3 218 26.11
1 3 219 23.45
1 3 220 25.34
1 3 221 23.02
1 3 223 11.13
1 3 224 22.68
1 3 225 22.37
1 3 226 20.9
1 3 227 23.07
1 3 228 21.35
1 3 229 22.84
1 3 230 21.4
1 3 231 12.8
1 3 232 23.05
1 3 233 20.99
1 3 234 21.55
1 3 235 24.42
1 3 236 23.74
1 3 237 19.43
1 3 238 22.87
1 3 239 23.49
1 3 240 25.87
1 3 241 23.94
1 3 242 23.76
1 3 243 22.04
1 3 244 21.39
1 3 245 22.51
1 3 246 22.34
1 3 247 23.58
1 3 248 13.54
1 3 249 23.19
1 3 250 22.49
1 3 251 22.9
1 3 252 22.37
1 3 253 20.67
1 3 254 23.33
1 3 255 22.84
1 3 256 23.59
1 3 257 22.48
1 3 258 22.74
1 3 259 8.33
1 3 260 20.92
1 3 261 22.47
1 3 262 10.74
1 3 263 24.54
1 3 264 12.4
1 3 265 21.56
1 3 266 22.95
1 3 267 23.07
1 3 268 7.43
1 3 269 9.78
1 3 270 6.56
1 3 271 18.11
1 3 272 18.16
1 3 273 17.62
1 3 274 18.33
1 3 275 18.67
1 3 276 19.75
1 3 277 20.29
1 3 278 21
1 3 279 8.68
1 3 280 11.36
1 3 281 21.11
1 3 282 21.12
1 3 283 8.07
1 3 284 20.95
1 3 285 11.23
1 3 286 16.15
1 3 287 11.78
1 3 288 3.75
1 3 290 4.47
1 3 294 2.43
2 3 1 23.84
2 3 2 20.33
2 3 3 27.85
2 3 4 27.7
2 3 5 31.13
2 3 6 30.23
2 3 7 32.92
2 3 8 32.87
2 3 9 32.5
2 3 10 38.9
2 3 11 35.57
2 3 12 38.1
2 3 13 33.73
2 3 14 40.51
2 3 15 17.12
2 3 16 37.23
2 3 17 36.25
2 3 18 38.5
2 3 19 16.21
2 3 20 36.13
2 3 21 33.16
2 3 22 34.32
2 3 23 34.71
2 3 24 37.17
2 3 25 32.79
2 3 26 36.3
2 3 27 34.31
2 3 28 34.96
2 3 29 34.31
2 3 30 34.02
2 3 31 34.19
2 3 32 36.04
2 3 33 32.69
2 3 34 34.84
2 3 35 33.97
2 3 36 35.09
2 3 37 32.99
2 3 38 32.59
2 3 39 32.69
2 3 40 34.1
2 3 41 33.2
