block plot conc fumigant n.before n.after li qu treat
1 1 0 CO 269 466 -0.176776695296637 0.102062072615966 0.CO
1 2 2 CK 283 280 0.176776695296637 0.102062072615965 2.CK
1 3 1 CN 252 398 -4.85858098545067e-18 -0.204124145231931 1.CN
1 4 1 CM 212 386 -4.85858098545067e-18 -0.204124145231932 1.CM
1 5 1 CS 138 194 -4.85858098545067e-18 -0.204124145231932 1.CS
1 6 0 CO 100 219 -0.176776695296637 0.102062072615966 0.CO
1 7 0 CO 197 421 -0.176776695296637 0.102062072615966 0.CO
1 8 2 CM 263 379 0.176776695296637 0.102062072615966 2.CM
1 9 2 CS 282 372 0.176776695296637 0.102062072615966 2.CS
1 10 1 CK 230 256 -4.85858098545067e-18 -0.204124145231932 1.CK
1 11 0 CO 216 708 -0.176776695296637 0.102062072615966 0.CO
1 12 2 CN 145 304 0.176776695296637 0.102062072615966 2.CN
2 1 2 CM 95 199 0.176776695296637 0.102062072615966 2.CM
2 2 2 CS 127 166 0.176776695296637 0.102062072615966 2.CS
2 3 2 CK 80 142 0.176776695296637 0.102062072615966 2.CK
2 4 0 CO 134 590 -0.176776695296637 0.102062072615966 0.CO
2 5 1 CK 107 236 -4.85858098545067e-18 -0.204124145231932 1.CK
2 6 1 CN 89 332 -4.85858098545067e-18 -0.204124145231932 1.CN
2 7 1 CM 41 176 -4.85858098545067e-18 -0.204124145231932 1.CM
2 8 0 CO 74 137 -0.176776695296637 0.102062072615966 0.CO
2 9 0 CO 88 356 -0.176776695296637 0.102062072615966 0.CO
2 10 0 CO 25 212 -0.176776695296637 0.102062072615966 0.CO
2 11 2 CN 42 308 0.176776695296637 0.102062072615966 2.CN
2 12 1 CS 62 221 -4.85858098545067e-18 -0.204124145231932 1.CS
3 1 1 CK 124 268 -4.85858098545067e-18 -0.204124145231932 1.CK
3 2 0 CO 211 505 -0.176776695296637 0.102062072615966 0.CO
3 3 1 CS 194 433 -4.85858098545067e-18 -0.204124145231932 1.CS
3 4 2 CK 222 408 0.176776695296637 0.102062072615966 2.CK
3 5 0 CO 102 363 -0.176776695296637 0.102062072615966 0.CO
3 6 2 CN 193 561 0.176776695296637 0.102062072615966 2.CN
3 7 2 CS 128 311 0.176776695296637 0.102062072615966 2.CS
3 8 1 CN 42 222 -4.85858098545067e-18 -0.204124145231932 1.CN
3 9 2 CM 162 365 0.176776695296637 0.102062072615966 2.CM
3 10 0 CO 191 563 -0.176776695296637 0.102062072615966 0.CO
3 11 1 CM 107 415 -4.85858098545067e-18 -0.204124145231932 1.CM
3 12 0 CO 67 338 -0.176776695296637 0.102062072615966 0.CO
4 1 2 CK 193 292 0.176776695296637 0.102062072615966 2.CK
4 2 0 CO 209 352 -0.176776695296637 0.102062072615966 0.CO
4 3 1 CK 109 132 -4.85858098545067e-18 -0.204124145231932 1.CK
4 4 1 CM 153 454 -4.85858098545067e-18 -0.204124145231932 1.CM
4 5 0 CO 29 254 -0.176776695296637 0.102062072615966 0.CO
4 6 2 CN 9 92 0.176776695296637 0.102062072615966 2.CN
4 7 2 CS 17 28 0.176776695296637 0.102062072615966 2.CS
4 8 0 CO 19 106 -0.176776695296637 0.102062072615966 0.CO
4 9 1 CS 23 80 -4.85858098545067e-18 -0.204124145231932 1.CS
4 10 1 CN 19 114 -4.85858098545067e-18 -0.204124145231932 1.CN
4 11 0 CO 44 268 -0.176776695296637 0.102062072615966 0.CO
4 12 2 CM 48 298 0.176776695296637 0.102062072615966 2.CM
