treat block score freq
1 1 1 4
1 1 2 16
1 1 3 17
1 1 4 9
1 2 1 11
1 2 2 9
1 2 3 20
1 2 4 9
1 3 1 10
1 3 2 8
1 3 3 18
1 3 4 13
1 4 1 4
1 4 2 13
1 4 3 19
1 4 4 9
2 1 1 28
2 1 2 7
2 1 3 11
2 1 4 2
2 2 1 23
2 2 2 11
2 2 3 14
2 2 4 4
2 3 1 22
2 3 2 11
2 3 3 12
2 3 4 4
2 4 1 18
2 4 2 16
2 4 3 14
2 4 4 0
3 1 1 3
3 1 2 12
3 1 3 21
3 1 4 9
3 2 1 9
3 2 2 8
3 2 3 19
3 2 4 10
3 3 1 3
3 3 2 12
3 3 3 23
3 3 4 12
3 4 1 7
3 4 2 13
3 4 3 27
3 4 4 10
4 1 1 3
4 1 2 15
4 1 3 22
4 1 4 7
4 2 1 12
4 2 2 9
4 2 3 17
4 2 4 11
4 3 1 6
4 3 2 13
4 3 3 19
4 3 4 8
4 4 1 8
4 4 2 16
4 4 3 18
4 4 4 11
5 1 1 10
5 1 2 9
5 1 3 16
5 1 4 11
5 2 1 7
5 2 2 5
5 2 3 16
5 2 4 11
5 3 1 5
5 3 2 13
5 3 3 16
5 3 4 10
5 4 1 4
5 4 2 8
5 4 3 24
5 4 4 12
6 1 1 30
6 1 2 4
6 1 3 10
6 1 4 2
6 2 1 24
6 2 2 9
6 2 3 10
6 2 4 4
6 3 1 26
6 3 2 10
6 3 3 11
6 3 4 3
6 4 1 26
6 4 2 8
6 4 3 11
6 4 4 1
7 1 1 9
7 1 2 9
7 1 3 19
7 1 4 11
7 2 1 6
7 2 2 6
7 2 3 20
7 2 4 17
7 3 1 1
7 3 2 13
7 3 3 20
7 3 4 14
7 4 1 8
7 4 2 8
7 4 3 24
7 4 4 11
8 1 1 5
8 1 2 8
8 1 3 23
8 1 4 12
8 2 1 8
8 2 2 12
8 2 3 15
8 2 4 11
8 3 1 8
8 3 2 6
8 3 3 21
8 3 4 13
8 4 1 6
8 4 2 7
8 4 3 20
8 4 4 14
9 1 1 3
9 1 2 15
9 1 3 19
9 1 4 12
9 2 1 8
9 2 2 15
9 2 3 15
9 2 4 12
9 3 1 14
9 3 2 12
9 3 3 13
9 3 4 8
9 4 1 4
9 4 2 9
9 4 3 16
9 4 4 19
10 1 1 9
10 1 2 13
10 1 3 16
10 1 4 8
10 2 1 9
10 2 2 9
10 2 3 20
10 2 4 12
10 3 1 5
10 3 2 7
10 3 3 25
10 3 4 14
10 4 1 6
10 4 2 9
10 4 3 15
10 4 4 18
