treat dogid time gbv
8Clanobutin 1 0 16.35
8Clanobutin 1 10 13.65
8Clanobutin 1 20 13.1
8Clanobutin 1 30 13.58
8Clanobutin 1 40 14.03
8Clanobutin 1 50 15.45
8Clanobutin 1 60 15.58
8Clanobutin 1 70 15.56
8Clanobutin 1 80 15.62
8Clanobutin 1 90 16.1
8Clanobutin 1 100 16.28
8Clanobutin 1 110 16.74
8Clanobutin 1 120 16.25
8Clanobutin 2 0 15.65
8Clanobutin 2 10 13.08
8Clanobutin 2 20 12.35
8Clanobutin 2 30 12.76
8Clanobutin 2 40 13.78
8Clanobutin 2 50 13.76
8Clanobutin 2 60 13.54
8Clanobutin 2 70 14.18
8Clanobutin 2 80 14.4
8Clanobutin 2 90 15.16
8Clanobutin 2 100 15.2
8Clanobutin 2 110 15.18
8Clanobutin 2 120 13.4
8Clanobutin 3 0 12.68
8Clanobutin 3 10 9.68
8Clanobutin 3 20 10.7
8Clanobutin 3 30 10.98
8Clanobutin 3 40 11.12
8Clanobutin 3 50 11.78
8Clanobutin 3 60 12.02
8Clanobutin 3 70 11.95
8Clanobutin 3 80 12.16
8Clanobutin 3 90 12.25
8Clanobutin 3 100 12.4
8Clanobutin 3 110 12.55
8Clanobutin 3 120 12.54
8Clanobutin 4 0 21.88
8Clanobutin 4 10 15.92
8Clanobutin 4 20 15.18
8Clanobutin 4 30 17.04
8Clanobutin 4 40 18.6
8Clanobutin 4 50 18.98
8Clanobutin 4 60 19.26
8Clanobutin 4 70 20.38
8Clanobutin 4 80 21.32
8Clanobutin 4 90 21.03
8Clanobutin 4 100 21.8
8Clanobutin 4 110 21.08
8Clanobutin 4 120 22.65
8Clanobutin 5 0 12.78
8Clanobutin 5 10 9.03
8Clanobutin 5 20 9.28
8Clanobutin 5 30 9.54
8Clanobutin 5 40 9.38
8Clanobutin 5 50 9.88
8Clanobutin 5 60 9.94
8Clanobutin 5 70 10.14
8Clanobutin 5 80 10.34
8Clanobutin 5 90 11.5
8Clanobutin 5 100 11.83
8Clanobutin 5 110 11.78
8Clanobutin 5 120 12.08
8Clanobutin 6 0 15.58
8Clanobutin 6 10 11.5
8Clanobutin 6 20 11.88
8Clanobutin 6 30 12.06
8Clanobutin 6 40 12.58
8Clanobutin 6 50 12.98
8Clanobutin 6 60 13
8Clanobutin 6 70 13
8Clanobutin 6 80 13.04
8Clanobutin 6 90 13.18
8Clanobutin 6 100 13.88
8Clanobutin 6 110 13.43
8Clanobutin 6 120 13.85
Cholechystokynin 1 0 17.7
Cholechystokynin 1 10 10.35
Cholechystokynin 1 20 10.78
Cholechystokynin 1 30 11.44
Cholechystokynin 1 40 11.2
Cholechystokynin 1 50 12.38
Cholechystokynin 1 60 12.68
Cholechystokynin 1 70 12.3
Cholechystokynin 1 80 14
Cholechystokynin 1 90 14.64
Cholechystokynin 1 100 14.96
Cholechystokynin 1 110 14.18
Cholechystokynin 1 120 16.78
Cholechystokynin 2 0 17.22
Cholechystokynin 2 10 11.3
Cholechystokynin 2 20 11.3
Cholechystokynin 2 30 13.28
Cholechystokynin 2 40 14.08
Cholechystokynin 2 50 13.98
Cholechystokynin 2 60 14.74
Cholechystokynin 2 70 15.63
Cholechystokynin 2 80 17.6
Cholechystokynin 2 90 17.34
Cholechystokynin 2 100 17.38
Cholechystokynin 2 110 17.36
Cholechystokynin 2 120 17.64
Cholechystokynin 3 0 14.24
Cholechystokynin 3 10 9.2
Cholechystokynin 3 20 9.4
Cholechystokynin 3 30 9.62
Cholechystokynin 3 40 10.1
Cholechystokynin 3 50 10.08
Cholechystokynin 3 60 9.6
Cholechystokynin 3 70 9.7
Cholechystokynin 3 80 11.23
Cholechystokynin 3 90 11.2
Cholechystokynin 3 100 11.96
Cholechystokynin 3 110 12.2
Cholechystokynin 3 120 13.98
Cholechystokynin 4 0 39.58
Cholechystokynin 4 10 26.88
Cholechystokynin 4 20 26.2
Cholechystokynin 4 30 29.8
Cholechystokynin 4 40 31.5
Cholechystokynin 4 50 32.75
Cholechystokynin 4 60 34.45
Cholechystokynin 4 70 35.64
Cholechystokynin 4 80 36.62
Cholechystokynin 4 90 38.65
Cholechystokynin 4 100 38.56
Cholechystokynin 4 110 39.2
Cholechystokynin 4 120 39.36
