amino;feed;time;y
lysin;barley;8;3.4
lysin;barley;8;3.4
lysin;barley;16;3.48
lysin;barley;16;3.44
lysin;barley;24;3.48
lysin;barley;24;3.48
lysin;barley;32;3.5
lysin;barley;32;3.53
lysin;barley;72;3.5
lysin;barley;72;3.54
lysin;bonemeal;8;5.04
lysin;bonemeal;8;5.12
lysin;bonemeal;16;5.19
lysin;bonemeal;16;5.23
lysin;bonemeal;24;5.26
lysin;bonemeal;24;5.28
lysin;bonemeal;32;5.28
lysin;bonemeal;32;5.23
lysin;bonemeal;72;5.39
lysin;bonemeal;72;5.39
lysin;fishmeal;8;7.27
lysin;fishmeal;8;7.14
lysin;fishmeal;16;7.53
lysin;fishmeal;16;7.6
lysin;fishmeal;24;7.55
lysin;fishmeal;24;7.61
lysin;fishmeal;32;7.67
lysin;fishmeal;32;7.62
lysin;fishmeal;72;7.68
lysin;fishmeal;72;7.55
lysin;maize;8;2.48
lysin;maize;8;2.49
lysin;maize;16;2.57
lysin;maize;16;2.55
lysin;maize;24;2.61
lysin;maize;24;2.59
lysin;maize;32;2.55
lysin;maize;32;2.6
lysin;maize;72;2.57
lysin;maize;72;2.59
lysin;soya;8;6.18
lysin;soya;8;6.22
lysin;soya;16;6.12
lysin;soya;16;6.18
lysin;soya;24;6.21
lysin;soya;24;6.21
lysin;soya;32;6.2
lysin;soya;32;6.29
lysin;soya;72;6.26
lysin;soya;72;6.2
serin;barley;8;4.47
serin;barley;8;4.46
serin;barley;16;4.34
serin;barley;16;4.3
serin;barley;24;4.22
serin;barley;24;4.19
serin;barley;32;4.1
serin;barley;32;4.08
serin;barley;72;3.48
serin;barley;72;3.53
serin;bonemeal;8;4.46
serin;bonemeal;8;4.43
serin;bonemeal;16;4.29
serin;bonemeal;16;4.23
serin;bonemeal;24;4.13
serin;bonemeal;24;4.15
serin;bonemeal;32;4.05
serin;bonemeal;32;3.95
serin;bonemeal;72;3.38
serin;bonemeal;72;3.38
serin;fishmeal;8;4.23
serin;fishmeal;8;4.1
serin;fishmeal;16;4.09
serin;fishmeal;16;4.13
serin;fishmeal;24;4
serin;fishmeal;24;3.92
serin;fishmeal;32;3.8
serin;fishmeal;32;3.79
serin;fishmeal;72;3.29
serin;fishmeal;72;3.2
serin;maize;8;5.26
serin;maize;8;5.3
serin;maize;16;5.09
serin;maize;16;5.08
serin;maize;24;4.94
serin;maize;24;5
serin;maize;32;4.79
serin;maize;32;4.75
serin;maize;72;4.02
serin;maize;72;4.03
serin;soya;8;5.61
serin;soya;8;5.7
serin;soya;16;5.47
serin;soya;16;5.46
serin;soya;24;5.31
serin;soya;24;5.35
serin;soya;32;5.08
serin;soya;32;5.12
serin;soya;72;4.43
serin;soya;72;4.28
