method load blast starch
Alpha_Amalyze 113 yes 3.057142857
Alpha_Amalyze 114 yes 2.128571429
Alpha_Amalyze 150 yes 1.257142857
Alpha_Amalyze 152 yes 2.2
Alpha_Amalyze 156 yes 1.8
Alpha_Amalyze 157 yes 2.085714286
Alpha_Amalyze 173 yes 2.328571429
Alpha_Amalyze 175 yes 2.671428571
Alpha_Amalyze 192 yes 2.914285714
Alpha_Amalyze 206 yes 2.957142857
Alpha_Amalyze 218 yes 2.114285714
Alpha_Amalyze 225 yes 1.257142857
Alpha_Amalyze 237 yes 3.157142857
Alpha_Amalyze 253 yes 1.971428571
Alpha_Amalyze 254 yes 2.842857143
Alpha_Amalyze 255 yes 2.814285714
Alpha_Amalyze 103 no 1.757142857
Alpha_Amalyze 113 no 2.685714286
Alpha_Amalyze 124 no 4.085714286
Alpha_Amalyze 125 no 3.628571429
Alpha_Amalyze 144 no 3.485714286
Alpha_Amalyze 145 no 3.057142857
Alpha_Amalyze 154 no 4.171428571
Alpha_Amalyze 164 no 2.485714286
Alpha_Amalyze 167 no 3.742857143
Alpha_Amalyze 172 no 1.442857143
Alpha_Amalyze 172 no 2.414285714
Alpha_Amalyze 184 no 2.071428571
Alpha_Amalyze 208 no 4.471428571
Alpha_Amalyze 231 no 3.428571429
Alpha_Amalyze 303 no 4.685714286
Alpha_Amalyze 325 no 3.357142857
Caustic_Soda 104 yes 5.057142857
Caustic_Soda 106 yes 4.114285714
Caustic_Soda 116 yes 4.985714286
Caustic_Soda 118 yes 5.3
Caustic_Soda 132 yes 3.2
Caustic_Soda 141 yes 1.914285714
Caustic_Soda 149 yes 4.414285714
Caustic_Soda 157 yes 1.585714286
Caustic_Soda 168 yes 5.1
Caustic_Soda 175 yes 3.557142857
Caustic_Soda 183 yes 4.885714286
Caustic_Soda 213 yes 5.028571429
Caustic_Soda 228 yes 5.714285714
Caustic_Soda 236 yes 2.328571429
Caustic_Soda 297 yes 6.414285714
Caustic_Soda 350 yes 5.085714286
Caustic_Soda 106 no 4.485714286
Caustic_Soda 127 no 4.342857143
Caustic_Soda 131 no 5.371428571
Caustic_Soda 141 no 4.114285714
Caustic_Soda 149 no 4.857142857
Caustic_Soda 151 no 3.828571429
Caustic_Soda 168 no 2.414285714
Caustic_Soda 169 no 5.9
Caustic_Soda 177 no 5.185714286
Caustic_Soda 195 no 2.457142857
Caustic_Soda 195 no 2.471428571
Caustic_Soda 200 no 2.614285714
Caustic_Soda 235 no 3.328571429
Caustic_Soda 238 no 4.657142857
Caustic_Soda 246 no 3.471428571
Caustic_Soda 247 no 6.828571429
Caustic_Soda 275 no 6.771428571
Pumice_Stone 100 yes 2.485714286
Pumice_Stone 106 yes 2.071428571
Pumice_Stone 113 yes 2.771428571
Pumice_Stone 119 yes 4.328571429
Pumice_Stone 135 yes 1.985714286
Pumice_Stone 141 yes 3.2
Pumice_Stone 142 yes 3.657142857
Pumice_Stone 144 yes 2.928571429
Pumice_Stone 146 yes 3.285714286
Pumice_Stone 161 yes 3.514285714
Pumice_Stone 187 yes 4.628571429
Pumice_Stone 189 yes 3.1
Pumice_Stone 196 yes 4.971428571
Pumice_Stone 197 yes 2.242857143
Pumice_Stone 235 yes 3.142857143
Pumice_Stone 240 yes 3.385714286
Pumice_Stone 296 yes 6.7
Pumice_Stone 104 no 3.657142857
Pumice_Stone 112 no 2.128571429
Pumice_Stone 135 no 6.571428571
Pumice_Stone 140 no 2.6
Pumice_Stone 143 no 4.285714286
Pumice_Stone 154 no 4.557142857
Pumice_Stone 169 no 4.628571429
Pumice_Stone 193 no 4
Pumice_Stone 204 no 4.014285714
Pumice_Stone 206 no 2.185714286
Pumice_Stone 208 no 4.242857143
Pumice_Stone 245 no 4.471428571
Pumice_Stone 274 no 5.314285714
Pumice_Stone 275 no 4.2
Pumice_Stone 282 no 4.228571429
Pumice_Stone 283 no 7.471428571
