store day price1 price2 sale1 sale2
A MON 37 61 11.3208 0.0047
A TUE 37 37 12.9151 0.0037
A WED 45 53 18.8947 7.5429
A THU 41 41 14.6739 7.0652
A FRI 57 41 8.6493 21.2085
A SAT 49 33 9.5238 16.6667
B MON 49 49 7.6923 7.1154
B TUE 53 53 0.0017 1
B WED 53 45 8.0477 24.2176
B THU 53 53 6.7358 2.9361
B FRI 61 37 6.1441 40.572
B SAT 49 65 21.7939 2.8324
C MON 53 45 4.2553 6.0284
C TUE 57 57 0.0017 2.0906
C WED 49 49 11.0196 13.9329
C THU 53 53 6.2762 6.5551
C FRI 53 45 13.2316 10.687
C SAT 53 53 5.0676 5.1351
D MON 57 57 5.6235 3.912
D TUE 49 49 14.9893 7.2805
D WED 53 53 13.7233 16.3105
D THU 53 45 6.0669 23.8494
D FRI 53 53 8.1602 4.1543
D SAT 61 37 1.4423 21.1538
E MON 45 45 6.9971 6.9971
E TUE 53 45 5.2308 3.6923
E WED 57 57 8.256 10.6679
E THU 49 49 14.5 16.75
E FRI 53 53 20.7627 15.2542
E SAT 53 45 3.6115 21.5442
F MON 53 53 11.3475 4.9645
F TUE 53 45 9.465 11.7824
F WED 53 53 22.6103 14.8897
F THU 61 37 0.002 19.2
F FRI 49 65 20.5997 2.3468
F SAT 37 37 28.1828 17.9543
