week1 week2 week3 week4 week5 week6 week7 week8 week9
24 32 39 42.5 48 54.5 61 65 72
22.5 30.5 40.5 45 51 58.5 64 72 78
22.5 28 36.5 41 47.5 55 61 68 76
24 31.5 39.5 44.5 51 56 59.5 64 67
24.5 31.5 37 42.5 48 54 58 63 65.5
23 30 35.5 41 48 51.5 56.5 63.5 69.5
22.5 28.5 36 43.5 47 53.5 59.5 67.5 73.5
23.5 30.5 38 41 48.5 55 59.5 66.5 73
20 27.5 33 39 43.5 49 54.5 59.5 65
25.5 32.5 39.5 47 53 58.5 63 69.5 76
24.5 31 40.5 46 51.5 57 62.5 69.5 76
24 29 39 44 50.5 57 61.5 68 73.5
23.5 30.5 36.5 42 47 55 59 65.5 73
21.5 30.5 37 42.5 48 52.5 58.5 63 69.5
25 32 38.5 44 51 59 66 75.5 86
21.5 28.5 34 39.5 45 51 58 64.5 72.5
31 38 48 54 60 62 66.5 75.5 84
27.5 32.5 36 43 49.5 52.5 56 61 64
30 37 45 51 58 63 67.5 74.5 81
26 32 40.5 45.5 52.5 55.5 62.5 69.5 74
26 32.5 39.5 44 48 54.5 58 66 73
28.5 35.5 41.5 47.5 54 59.5 63.5 71 78.5
26.5 34.5 42 48.5 55.5 62 68 76.5 85
27.5 33.5 41 45 50.5 56 62.5 71 78
22.5 27 33.5 38.5 41 49 56 64 68
22 26.5 32.5 38.5 43.5 50.5 56.5 63.5 68.5
23.5 29 35.5 40 45 50 56.5 63 67.5
22.5 29.5 36.5 42 45 55 61 68 72
27.5 34.5 42 47.5 53 63 72 79 85.5
23.5 28 33 37 38.5 48 52.5 62 64.5
24.5 30 38.5 42 47.5 54 62.5 71.5 77
24.5 31.5 40.5 46.5 51.5 61.5 68.5 77.5 84.5
24.5 32 39 45 51 55.5 61.5 69 75.5
24 32.5 40 48 54.5 61.5 68 74.5 81
24 31.5 38.5 44 51.5 57.5 64 72.5 79
24.5 32.5 39.5 44.5 52.5 56.5 62 67.5 72.5
24.5 32 38.5 44 50 56 63.5 69.5 76
25.5 33 41.5 47 55.5 60.5 66.5 77 82
25.5 32 39 45.5 51 57.5 63.5 72 78.5
25 31 36.5 43 50.5 55 62.5 69 75.5
26.5 30.5 33 39 43.5 49.5 56.5 61 65
24 32 39 44.5 50 56 63 67.5 74
24.5 31 37.5 43.5 48 56 62.5 66.5 70.5
27 34.5 42 48.5 53 60 67 73 76
31 39 47.5 51 57 64 71 77 80.5
27 33.5 40 46.5 53 60 66.5 72.5 80
29.5 37 46 52.5 60 67.5 76 81.5 88
28.5 36 42.5 49 55 63.5 72 78.5 85.5
