day time rainfall
04-05-2009 05:32:32 0.5
04-05-2009 06:58:39 0.5
04-05-2009 05:43:06 0.5
04-05-2009 05:39:50 1
04-05-2009 19:44:30 0.5
13-05-2009 16:33:43 1
13-05-2009 13:57:11 40.5
13-05-2009 23:52:25 13.5
13-05-2009 06:14:24 0.5
13-05-2009 01:45:38 0.5
13-05-2009 16:17:06 28.5
25-05-2009 14:53:35 32.5
25-05-2009 03:44:32 6.5
25-05-2009 04:25:27 0.5
25-05-2009 01:51:04 3.5
29-05-2009 16:21:12 7
29-05-2009 07:03:59 1
29-05-2009 16:50:51 5.5
29-05-2009 09:44:20 4.5
29-05-2009 14:42:15 6
29-05-2009 05:04:46 35
29-05-2009 13:22:30 4
30-05-2009 06:17:45 0.5
01-06-2009 18:32:04 0.5
01-06-2009 00:42:56 40.5
01-06-2009 08:51:54 5.5
01-06-2009 09:59:05 0.5
01-06-2009 01:42:18 0.5
01-06-2009 13:03:09 12.5
01-06-2009 06:37:01 5.5
01-06-2009 00:26:08 2.5
01-06-2009 01:13:09 64.5
01-06-2009 08:53:35 68
02-06-2009 05:43:25 30
02-06-2009 15:29:57 23
02-06-2009 11:16:49 38.5
03-06-2009 05:27:34 9
03-06-2009 08:42:59 6
03-06-2009 19:15:30 NA
03-06-2009 02:46:16 NA
09-06-2009 21:19:50 8.5
09-06-2009 14:11:50 48
11-06-2009 01:23:05 13
11-06-2009 14:43:54 18
11-06-2009 04:33:19 0.5
11-06-2009 15:51:46 49.5
12-06-2009 01:39:09 10
12-06-2009 17:14:41 NA
12-06-2009 12:58:16 32
12-06-2009 08:05:13 21.5
13-06-2009 20:56:34 8
13-06-2009 12:31:49 NA
13-06-2009 12:33:30 NA
13-06-2009 21:28:17 4.5
14-06-2009 09:10:24 NA
15-06-2009 20:42:08 NA
15-06-2009 19:02:53 22
15-06-2009 02:40:45 6.5
15-06-2009 15:11:15 12.5
16-06-2009 20:33:15 4.5
16-06-2009 14:02:28 17.5
16-06-2009 13:27:18 54.5
16-06-2009 11:38:50 50
17-06-2009 06:41:35 20.5
17-06-2009 00:37:03 41.5
18-06-2009 14:23:17 28.5
18-06-2009 19:24:07 14.5
18-06-2009 16:35:25 4.5
19-06-2009 20:17:16 NA
19-06-2009 02:52:04 NA
19-06-2009 11:48:32 NA
19-06-2009 06:05:07 9.5
19-06-2009 19:57:10 3
19-06-2009 12:25:08 NA
19-06-2009 09:01:47 13
19-06-2009 04:09:17 142.5
19-06-2009 08:43:19 12
19-06-2009 16:00:23 1.5
19-06-2009 11:50:08 NA
19-06-2009 04:18:52 6
19-06-2009 23:38:40 3
20-06-2009 01:12:18 5
20-06-2009 02:55:39 21.5
20-06-2009 23:24:24 38.5
20-06-2009 21:36:48 11.5
20-06-2009 06:29:03 1
20-06-2009 02:29:29 9.5
22-06-2009 16:49:21 7.5
22-06-2009 03:30:32 NA
22-06-2009 07:48:23 NA
22-06-2009 08:03:05 20.5
22-06-2009 07:33:15 22
22-06-2009 18:15:51 94.5
25-06-2009 10:25:33 8
25-06-2009 17:38:34 NA
27-06-2009 05:57:46 NA
27-06-2009 20:23:45 NA
27-06-2009 18:52:39 26
27-06-2009 13:23:36 30.5
27-06-2009 03:17:27 3.5
04-07-2009 22:39:45 58.5
04-07-2009 10:32:34 49.5
04-07-2009 15:41:18 NA
04-07-2009 06:20:08 NA
04-07-2009 04:51:09 NA
04-07-2009 06:29:12 4.5
04-07-2009 04:31:20 0.5
04-07-2009 08:02:41 0.5
04-07-2009 14:31:37 48
04-07-2009 21:03:51 0.5
06-07-2009 02:40:57 13
06-07-2009 09:13:37 3.5
06-07-2009 09:39:03 20
06-07-2009 14:02:36 46.5
06-07-2009 08:30:46 186
06-07-2009 18:03:46 21.5
13-07-2009 21:10:49 10
13-07-2009 14:01:59 2.5
13-07-2009 06:56:29 NA
14-07-2009 23:12:43 0.5
14-07-2009 10:22:02 54.5
14-07-2009 04:36:36 34
14-07-2009 13:34:34 60
14-07-2009 00:23:37 1.5
21-07-2009 19:22:21 NA
21-07-2009 08:53:17 NA
21-07-2009 11:07:09 NA
21-07-2009 05:07:38 6
21-07-2009 15:15:21 1.5
27-07-2009 22:08:46 NA
27-07-2009 11:42:17 9.5
27-07-2009 16:34:25 NA
27-07-2009 21:51:20 NA
27-07-2009 04:26:25 0.5
27-07-2009 21:13:40 NA
27-07-2009 12:02:03 2
27-07-2009 18:43:53 1.5
27-07-2009 01:55:16 4.5
27-07-2009 22:13:57 1
27-07-2009 07:45:22 NA
27-07-2009 12:27:00 19
27-07-2009 13:30:14 34.5
27-07-2009 02:52:06 6
28-07-2009 12:06:35 12.5
28-07-2009 02:44:19 1.5
28-07-2009 13:19:50 9
28-07-2009 12:23:38 2
28-07-2009 17:37:51 5
28-07-2009 18:23:01 6.5
28-07-2009 15:42:19 3.5
28-07-2009 17:26:34 3
