sexism type gender
50 1 male
35 1 male
37 1 male
32 1 male
46 1 male
38 1 male
36 1 male
40 1 male
38 1 male
41 1 male
30 2 male
29 2 male
31 2 male
27 2 male
22 2 male
20 2 male
31 2 male
22 2 male
25 2 male
30 2 male
45 3 male
40 3 male
32 3 male
31 3 male
26 3 male
28 3 male
39 3 male
27 3 male
37 3 male
35 3 male
38 1 female
27 1 female
34 1 female
30 1 female
22 1 female
32 1 female
26 1 female
24 1 female
31 1 female
33 1 female
28 2 female
31 2 female
28 2 female
26 2 female
20 2 female
24 2 female
31 2 female
24 2 female
31 2 female
26 2 female
40 3 female
35 3 female
32 3 female
29 3 female
24 3 female
26 3 female
36 3 female
25 3 female
35 3 female
35 3 female
