nr   date     n temp pres 
 1   04-12-81 0 66  50 
 2   11-12-81 1 70  50
 3   03-22-82 0 69  50
 5   11-11-82 0 68  50
 6   04-04-83 0 67  50
 7   06-18-83 0 72  50
 8   08-30-83 0 73 100
 9   11-28-83 0 70 100
41-B 02-03-84 1 57 200
41-C 04-06-84 1 63 200
41-D 08-30-84 1 70 200
41-G 10-05-84 0 78 200
51-A 11-08-84 0 67 200
51-C 01-24-85 2 53 200
51-D 04-12-85 0 67 200
51-B 04-29-85 0 75 200
51-G 06-17-85 0 70 200
51-F 07-29-85 0 81 200
51-I 08-27-85 0 76 200
51-J 10-03-85 0 79 200
61-A 10-30-85 2 75 200
61-B 11-26-85 0 76 200
61-C 01-12-86 1 58 200
61-I 01-28-86 NA 31 200




