grass open cover erosion
wheat 0.3 2.82 104.04
wheat 0.48 1.42 457.96
wheat 0.3 -0.89 806.56
wheat 1.18 -0.11 1324.96
wheat 0.6 -1.61 967.21
wheat 1 -0.82 1474.56
wheat 1.2 -0.79 1584.04
wheat 1.08 -0.82 1521
wheat 1.58 -2.15 3352.41
wheat 1.15 -1.61 1980.25
wheat 1.58 -0.95 2560.36
wheat 1.4 -1.51 2106.81
wheat 0.78 -1.25 1332.25
cheat 0.7 1.83 625
cheat 0.6 1.83 462.25
cheat 0.7 2.4 670.81
cheat 1.18 1.42 1428.84
cheat 1.49 -0.95 2410.81
cheat 0.6 -1.03 954.81
cheat 0.85 -1.17 1391.29
cheat 0.78 -1.03 1169.64
cheat 1 -0.99 1346.89
cheat 1.36 -1.03 1927.21
cheat 0.95 -1.1 1369
cheat 1.28 -1.34 1936
cheat 1.08 -1.1 1722.25
cheat 1.46 -1.42 2550.25
cheat 1.38 -1.38 2143.69
cheat 1.69 -1.82 3624.04
