treat area light stress
1 200 low no
1 215 low no
1 225 low no
1 229 low no
1 230 low no
1 232 low no
1 241 low no
1 253 low no
1 256 low no
1 264 low no
1 268 low no
1 288 low no
1 288 low no
2 163 low yes
2 182 low yes
2 188 low yes
2 195 low yes
2 202 low yes
2 205 low yes
2 212 low yes
2 214 low yes
2 215 low yes
2 230 low yes
2 235 low yes
2 255 low yes
2 272 low yes
3 268 high no
3 271 high no
3 273 high no
3 282 high no
3 285 high no
3 299 high no
3 309 high no
3 310 high no
3 314 high no
3 320 high no
3 337 high no
3 340 high no
3 345 high no
4 201 high yes
4 216 high yes
4 241 high yes
4 257 high yes
4 259 high yes
4 267 high yes
4 269 high yes
4 282 high yes
4 283 high yes
4 291 high yes
4 291 high yes
4 312 high yes
4 326 high yes
