country       area  nstork   pop  rate
Albania      28750     100    3.2   83
Belgium      39520       1    9.9   87
Bulgaria    111000    5000    9.0  117
Denmark      43100       9    5.1   59
Germany     357000    3300   78    901
France      544000     140   56    774
Greece      132000    2500   10    106
Holland      41900       4   15    188
Italy       301280       5   57    551
Austria      83860     300    7.6   87
Poland      312680   30000   38    610
Portugal     92390    1500   10    120
Romania     237500    5000   23     23
Spain       504750    8000   39    439
Switzerland  41290     150    6.7   82
Turkey      779450   25000   56   1576
Hungary      93000    5000   11    124
