"family.id" "animal.id" "vessel" "date" "length" "weight" "sex" "month"
2003004 2251 36 15942 15.40 0.0501 "m"  5
2003004 2251 36 15970 19.80 0.1198 "m"  6
2003004 2251 36 16009 23.60 0.1887 "m"  7
2003004 2251 36 16034 26.00 0.2538 "m"  8
2003004 2251 36 16055 28.20 0.3642 "m"  9
2003004 2251 36 16106 36.90 0.8452 "m" 11
2003004 2252  7 15942 16.10 0.0600 "m"  5
2003004 2252  7 15971 21.20 0.1400 "m"  6
2003004 2252  7 16008 25.40 0.2366 "m"  7
2003004 2252  7 16034 28.20 0.3222 "m"  8
2003004 2252  7 16055 30.60 0.4284 "m"  9
2003004 2252  7 16105 37.75 0.9309 "m" 11
2003004 2253 36 15942 14.70 0.0434 "m"  5
2003004 2253 36 15970 19.00 0.1079 "m"  6
2003004 2253 36 16009 23.40 0.1822 "m"  7
2003004 2253 36 16034 26.40 0.2718 "m"  8
2003004 2253 36 16055 29.80 0.4069 "m"  9
2003004 2253 36 16106 37.60 0.8831 "m" 11
2003004 2257 16 15942 13.70 0.0354 "f"  5
2003004 2257 16 15971 17.40 0.0785 "f"  6
2003004 2257 16 16007 20.80 0.1335 "f"  7
2003004 2257 16 16033 23.40 0.1936 "f"  8
2003004 2257 16 16054 26.10 0.2851 "f"  9
2003004 2257 16 16111 31.90 0.5297 "f" 11
2003004 2258 16 15942 16.20 0.0549 "m"  5
2003004 2258 16 15971 20.20 0.1188 "m"  6
2003004 2258 16 16007 24.80 0.2092 "m"  7
2003004 2258 16 16033 27.30 0.3076 "m"  8
2003004 2258 16 16054 30.30 0.4308 "m"  9
2003004 2258 16 16110 38.90 0.9051 "m" 11
2003004 2261 36 15942 13.80 0.0335 "m"  5
2003004 2261 36 15970 18.10 0.0865 "m"  6
2003004 2261 36 16009 21.90 0.1490 "m"  7
2003004 2261 36 16034 25.40 0.2291 "m"  8
2003004 2261 36 16055 27.80 0.3227 "m"  9
2003004 2261 36 16106 35.10 0.7190 "m" 11
2003004 2262 36 15942 14.80 0.0436 "f"  5
2003004 2262 36 15970 19.10 0.1083 "f"  6
2003004 2262 36 16009 24.00 0.1916 "f"  7
2003004 2262 36 16034 26.80 0.2749 "f"  8
2003004 2262 36 16055 29.10 0.3683 "f"  9
2003004 2262 36 16106 31.45 0.7864 "f" 11
2003004 2263 16 15942 13.50 0.0356 "m"  5
2003004 2263 16 15972 17.10 0.0726 "m"  6
2003004 2263 16 16007 19.10 0.1176 "m"  7
2003004 2263 16 16033 22.30 0.1689 "m"  8
2003004 2263 16 16054 24.20 0.2360 "m"  9
2003004 2263 16 16110 31.05 0.5295 "m" 11
2003004 2265  7 15942 15.00 0.0486 "f"  5
2003004 2265  7 15971 19.60 0.1160 "f"  6
2003004 2265  7 16008 23.90 0.2016 "f"  7
2003004 2265  7 16034 26.60 0.2865 "f"  8
2003004 2265  7 16055 29.00 0.3844 "f"  9
2003004 2265  7 16105 35.65 0.8624 "f" 11
2003004 2266 16 15942 16.70 0.0623 "f"  5
2003004 2266 16 15971 21.20 0.1385 "f"  6
2003004 2266 16 16007 25.80 0.2526 "f"  7
2003004 2266 16 16033 28.80 0.3526 "f"  8
2003004 2266 16 16054 31.10 0.4858 "f"  9
2003004 2266 16 16110 38.40 0.9182 "f" 11
2003004 2267  7 15942 14.20 0.0404 "m"  5
2003004 2267  7 15971 18.30 0.0878 "m"  6
2003004 2267  7 16008 21.50 0.1411 "m"  7
2003004 2267  7 16034 24.60 0.2106 "m"  8
2003004 2267  7 16055 27.50 0.3143 "m"  9
2003004 2267  7 16105 35.25 0.6922 "m" 11
2003004 2268 36 15942 14.90 0.0469 "f"  5
2003004 2268 36 15970 19.40 0.1078 "f"  6
2003004 2268 36 16009 23.30 0.1742 "f"  7
2003004 2268 36 16034 25.40 0.2229 "f"  8
2003004 2268 36 16055 27.00 0.2836 "f"  9
2003004 2268 36 16106 32.35 0.5738 "f" 11
2003004 2272 16 15942 15.20 0.0478 "f"  5
2003004 2272 16 15972 19.70 0.1126 "f"  6
2003004 2272 16 16007 24.10 0.2048 "f"  7
2003004 2272 16 16033 27.00 0.2889 "f"  8
2003004 2272 16 16054 29.90 0.4134 "f"  9
2003004 2272 16 16111 36.80 0.8160 "f" 11
2003004 2274  7 15942 15.80 0.0548 "m"  5
2003004 2274  7 15971 20.30 0.1164 "m"  6
2003004 2274  7 16008 23.90 0.1953 "m"  7
2003004 2274  7 16034 26.50 0.2742 "m"  8
2003004 2274  7 16055 29.50 0.3907 "m"  9
2003004 2274  7 16105 37.20 0.8899 "m" 11
2003004 2275  7 15942 14.00 0.0370 "f"  5
2003004 2275  7 15971 18.30 0.0859 "f"  6
2003004 2275  7 16008 22.20 0.1438 "f"  7
2003004 2275  7 16034 24.90 0.2045 "f"  8
2003004 2275  7 16055 27.60 0.3011 "f"  9
2003004 2275  7 16105 34.80 0.7072 "f" 11
2003004 2276 16 15942 14.70 0.0405 "f"  5
2003004 2276 16 15971 18.70 0.0879 "f"  6
2003004 2276 16 16007 22.40 0.1499 "f"  7
2003004 2276 16 16036 25.10 0.2242 "f"  8
2003004 2276 16 16054 28.30 0.3185 "f"  9
2003004 2276 16 16110 36.50 0.7065 "f" 11
2003004 2278  7 15942 15.30 0.0471 "m"  5
2003004 2278  7 15971 19.60 0.1087 "m"  6
2003004 2278  7 16008 23.60 0.1942 "m"  7
2003004 2278  7 16034 27.20 0.2918 "m"  8
2003004 2278  7 16055 30.30 0.4031 "m"  9
2003004 2278  7 16105 38.40 0.9525 "m" 11
2003004 2279 36 15942 15.40 0.0502 "f"  5
2003004 2279 36 16009 24.60 0.2034 "f"  7
2003004 2279 36 16034 27.60 0.2757 "f"  8
2003004 2279 36 16055 30.10 0.3701 "f"  9
2003004 2279 36 16111 37.50 0.8203 "f" 11
2003004 2280 36 15942 11.70 0.0227 "m"  5
2003004 2280 36 15970 15.40 0.0600 "m"  6
2003004 2280 36 16009 19.80 0.1157 "m"  7
2003004 2280 36 16034 23.00 0.1841 "m"  8
2003004 2280 36 16055 25.30 0.2579 "m"  9
2003004 2280 36 16106 32.10 0.6157 "m" 11
2003004 2281 36 15942 13.90 0.0390 "m"  5
2003004 2281 36 15970 18.20 0.0949 "m"  6
2003004 2281 36 16009 22.10 0.1518 "m"  7
2003004 2281 36 16034 24.20 0.2003 "m"  8
2003004 2281 36 16055 26.70 0.2858 "m"  9
2003004 2281 36 16106 34.25 0.6719 "m" 11
2003004 2282  7 15942 14.00 0.0396 "m"  5
2003004 2282  7 15971 17.90 0.0863 "m"  6
2003004 2282  7 16008 21.50 0.1551 "m"  7
2003004 2282  7 16034 24.00 0.2085 "m"  8
2003004 2282  7 16055 26.00 0.2852 "m"  9
2003004 2282  7 16105 31.75 0.6161 "m" 11
2003004 2283  7 15942 15.50 0.0478 "m"  5
2003004 2283  7 15971 20.00 0.1097 "m"  6
2003004 2283  7 16008 24.40 0.2008 "m"  7
2003004 2283  7 16034 27.70 0.3002 "m"  8
2003004 2283  7 16055 31.00 0.4348 "m"  9
2003004 2283  7 16105 39.40 1.0207 "m" 11
2003004 2284 36 15942 15.40 0.0535 "f"  5
2003004 2284 36 15970 20.10 0.1268 "f"  6
2003004 2284 36 16009 25.00 0.2366 "f"  7
2003004 2284 36 16034 28.00 0.3319 "f"  8
2003004 2284 36 16055 30.60 0.4563 "f"  9
2003004 2284 36 16106 37.00 0.9277 "f" 11
2003004 2286 36 15942 15.20 0.0446 "m"  5
2003004 2286 36 15970 20.10 0.1119 "m"  6
2003004 2286 36 16009 25.00 0.2067 "m"  7
2003004 2286 36 16034 27.90 0.2925 "m"  8
2003004 2286 36 16055 30.50 0.4022 "m"  9
2003004 2286 36 16106 38.95 0.8904 "m" 11
2003004 2288  7 15942 13.90 0.0375 "m"  5
2003004 2288  7 15971 18.60 0.0950 "m"  6
2003004 2288  7 16008 22.60 0.1709 "m"  7
2003004 2288  7 16034 26.00 0.2587 "m"  8
2003004 2288  7 16055 28.90 0.3729 "m"  9
2003004 2288  7 16105 36.00 0.7968 "m" 11
2003004 2290 36 15942 14.80 0.0442 "m"  5
2003004 2290 36 15970 19.00 0.0985 "m"  6
2003004 2290 36 16009 23.60 0.1848 "m"  7
2003004 2290 36 16034 26.60 0.2705 "m"  8
2003004 2290 36 16055 29.40 0.3889 "m"  9
2003004 2290 36 16106 37.25 0.8739 "m" 11
2003004 2291 16 15942 17.20 0.0733 "f"  5
2003004 2291 16 15971 21.70 0.1447 "f"  6
2003004 2291 16 16007 24.80 0.3395 "f"  7
2003004 2291 16 16033 27.60 0.3147 "f"  8
2003004 2291 16 16054 28.90 0.3689 "f"  9
2003004 2291 16 16111 34.10 0.6545 "f" 11
2003004 2292 36 15942 14.60 0.0436 "m"  5
2003004 2292 36 15970 18.50 0.0950 "m"  6
2003004 2292 36 16008 22.40 0.1612 "m"  7
2003004 2292 36 16034 25.20 0.2312 "m"  8
2003004 2292 36 16055 28.00 0.3440 "m"  9
2003004 2292 36 16106 36.25 0.8075 "m" 11
2003004 2293  7 15942 15.30 0.0457 "m"  5
2003004 2293  7 15971 19.60 0.1064 "m"  6
2003004 2293  7 16008 24.10 0.1781 "m"  7
2003004 2293  7 16034 26.70 0.2592 "m"  8
2003004 2293  7 16055 29.30 0.3624 "m"  9
2003004 2293  7 16105 37.50 0.8677 "m" 11
