Rep Block No Variety Roots
1 1 1 K 553.03030303
1 1 2 B 553.03030303
1 1 3 I 534.09090909
1 1 4 G 541.66666667
1 2 1 L 537.87878788
1 2 2 M 568.18181818
1 2 3 J 541.66666667
1 2 4 C 549.24242424
1 2 5 F 511.36363636
1 3 1 D 598.48484848
1 3 2 E 602.27272727
1 3 3 H 575.75757576
1 3 4 A 575.75757576
2 1 1 D 553.03030303
2 1 2 I 568.18181818
2 1 3 L 534.09090909
2 1 4 H 484.84848485
2 2 1 K 564.39393939
2 2 2 M 587.12121212
2 2 3 C 530.3030303
2 2 4 A 545.45454545
2 3 1 G 564.39393939
2 3 2 B 534.09090909
2 3 3 E 568.18181818
2 3 4 J 556.81818182
2 3 5 F 511.36363636
3 1 1 C 526.51515152
3 1 2 A 518.93939394
3 1 3 E 560.60606061
3 1 4 B 553.03030303
3 2 1 G 583.33333333
3 2 2 L 522.72727273
3 2 3 D 617.42424242
3 2 4 J 553.03030303
3 3 1 K 541.66666667
3 3 2 H 530.3030303
3 3 3 M 575.75757576
3 3 4 F 515.15151515
3 3 5 I 534.09090909
4 1 1 I 545.45454545
4 1 2 D 602.27272727
4 1 3 C 568.18181818
4 1 4 F 560.60606061
4 1 5 E 602.27272727
4 2 1 A 560.60606061
4 2 2 L 564.39393939
4 2 3 M 606.06060606
4 2 4 G 606.06060606
4 3 1 J 602.27272727
4 3 2 K 617.42424242
4 3 3 B 590.90909091
4 3 4 H 564.39393939
