Variety Nitrogen Yield Block
3 3 156 1
3 2 118 1
3 1 140 1
3 0 105 1
1 0 111 1
1 1 130 1
1 3 174 1
1 2 157 1
2 0 117 1
2 1 114 1
2 2 161 1
2 3 141 1
3 2 109 2
3 3 99 2
3 0 63 2
3 1 70 2
2 0 80 2
2 2 94 2
2 3 126 2
2 1 82 2
1 1 90 2
1 2 100 2
1 3 116 2
1 0 62 2
3 2 104 3
3 0 70 3
3 1 89 3
3 3 117 3
1 3 122 3
1 0 74 3
1 1 89 3
1 2 81 3
2 1 103 3
2 0 64 3
2 2 132 3
2 3 133 3
2 3 96 4
2 0 60 4
2 2 89 4
2 1 102 4
1 2 112 4
1 3 86 4
1 0 68 4
1 1 64 4
3 2 132 4
3 3 124 4
3 1 129 4
3 0 89 4
2 1 108 5
2 2 126 5
2 3 149 5
2 0 70 5
3 3 144 5
3 1 124 5
3 2 121 5
3 0 96 5
1 0 61 5
1 3 100 5
1 1 91 5
1 2 97 5
1 2 118 6
1 0 53 6
1 3 113 6
1 1 74 6
2 3 104 6
2 2 86 6
2 0 89 6
2 1 82 6
3 0 97 6
3 1 99 6
3 2 119 6
3 3 121 6
