ID Rep Drain SphType PotType DifWater
1 1 2 2 5 16
2 1 2 2 1 15
3 1 2 2 6 21
4 1 2 2 8 14
5 1 2 2 7 72
6 1 2 2 2 13
7 1 2 2 7 13
8 1 2 2 1 14
9 1 2 2 1 14
10 1 2 2 4 13
11 1 2 2 8 14
12 1 2 2 3 18
13 1 2 2 6 19
14 1 2 2 4 11
15 1 2 2 2 11
16 1 2 2 3 15
17 1 2 2 6 16
18 1 2 2 3 16
19 1 2 2 5 12
20 1 2 2 7 10
21 1 2 2 5 12
22 1 2 2 2 11
23 1 2 2 8 15
24 1 2 2 4 11
25 1 2 1 1 15
26 1 2 1 8 12
27 1 2 1 3 17
28 1 2 1 4 13
29 1 2 1 4 12
30 1 2 1 3 14
31 1 2 1 5 11
32 1 2 1 6 19
33 1 2 1 6 24
34 1 2 1 2 13
35 1 2 1 4 12
36 1 2 1 2 13
37 1 2 1 6 12
38 1 2 1 1 5
39 1 2 1 7 5
40 1 2 1 7 5
41 1 2 1 3 7
42 1 2 1 7 5
43 1 2 1 5 4
44 1 2 1 2 4
45 1 2 1 5 5
46 1 2 1 1 5
47 1 2 1 8 4
48 1 2 1 8 4
49 1 1 1 3 15
50 1 1 1 7 12
51 1 1 1 7 11
52 1 1 1 5 13
53 1 1 1 4 13
54 1 1 1 5 16
55 1 1 1 2 16
56 1 1 1 6 10
57 1 1 1 1 12
58 1 1 1 6 9
59 1 1 1 8 10
60 1 1 1 2 10
61 1 1 1 3 14
62 1 1 1 8 8
63 1 1 1 5 10
64 1 1 1 1 9
65 1 1 1 2 9
66 1 1 1 6 13
67 1 1 1 4 15
68 1 1 1 3 15
69 1 1 1 8 12
70 1 1 1 7 10
71 1 1 1 4 11
72 1 1 1 1 13
73 1 1 2 5 11
74 1 1 2 8 13
75 1 1 2 3 16
76 1 1 2 4 11
77 1 1 2 2 14
78 1 1 2 7 14
79 1 1 2 6 13
80 1 1 2 4 10
81 1 1 2 1 8
82 1 1 2 7 8
83 1 1 2 6 8
84 1 1 2 1 12
85 1 1 2 5 13
86 1 1 2 7 10
87 1 1 2 3 13
88 1 1 2 8 11
89 1 1 2 1 9
90 1 1 2 6 12
91 1 1 2 2 16
92 1 1 2 3 16
93 1 1 2 5 12
94 1 1 2 8 11
95 1 1 2 2 13
96 1 1 2 4 12
97 2 1 2 4 15
98 2 1 2 7 15
99 2 1 2 8 15
100 2 1 2 2 12
101 2 1 2 3 15
102 2 1 2 1 17
103 2 1 2 6 11
104 2 1 2 1 12
105 2 1 2 7 10
106 2 1 2 2 9
107 2 1 2 2 10
108 2 1 2 5 12
109 2 1 2 7 13
110 2 1 2 6 7
111 2 1 2 5 10
112 2 1 2 5 8
113 2 1 2 4 11
114 2 1 2 1 14
115 2 1 2 8 17
116 2 1 2 6 9
117 2 1 2 3 15
118 2 1 2 3 14
119 2 1 2 8 12
120 2 1 2 4 12
121 2 1 1 4 14
122 2 1 1 1 11
123 2 1 1 1 11
124 2 1 1 2 12
125 2 1 1 7 1
126 2 1 1 6 14
127 2 1 1 8 10
128 2 1 1 6 12
129 2 1 1 6 8
130 2 1 1 2 9
131 2 1 1 8 9
132 2 1 1 3 15
133 2 1 1 4 10
134 2 1 1 4 8
135 2 1 1 5 7
136 2 1 1 8 9
137 2 1 1 2 9
138 2 1 1 5 10
139 2 1 1 7 15
140 2 1 1 3 14
141 2 1 1 3 13
142 2 1 1 1 9
143 2 1 1 5 11
144 2 1 1 7 11
145 2 2 2 2 5
146 2 2 2 2 4
147 2 2 2 3 6
148 2 2 2 3 6
149 2 2 2 7 4
150 2 2 2 8 5
151 2 2 2 8 4
152 2 2 2 7 4
153 2 2 2 5 4
154 2 2 2 3 5
155 2 2 2 1 3
156 2 2 2 5 3
157 2 2 2 4 9
158 2 2 2 2 8
159 2 2 2 4 7
160 2 2 2 4 9
161 2 2 2 1 8
162 2 2 2 8 9
163 2 2 2 1 11
164 2 2 2 7 7
165 2 2 2 6 13
166 2 2 2 5 8
167 2 2 2 6 16
168 2 2 2 6 15
169 2 2 1 2 16
170 2 2 1 5 15
171 2 2 1 7 13
172 2 2 1 6 25
173 2 2 1 1 18
174 2 2 1 8 15
175 2 2 1 5 14
176 2 2 1 4 15
177 2 2 1 7 11
178 2 2 1 6 17
179 2 2 1 4 14
180 2 2 1 8 15
181 2 2 1 7 14
182 2 2 1 3 17
183 2 2 1 3 16
184 2 2 1 1 15
185 2 2 1 5 13
186 2 2 1 6 21
187 2 2 1 4 11
188 2 2 1 2 13
189 2 2 1 3 14
190 2 2 1 8 15
191 2 2 1 1 17
192 2 2 1 2 15
