Rep	Block Sucre	Variety
1	1	95.7	11
1	1	104.1	9
1	1	93.0	6
1	1	91.5	1
1	2	103.7	14
1	2	96.7	4
1	2	99.4	7
1	2	94.8	2
1	3	95.9	12
1	3	102.4	16
1	3	108.6	10
1	3	103.2	8
1	4	98.2	13
1	4	105.1	15
1	4	97.9	3
1	4	106.3	5
2	1	104.2	9
2	1	100.2	10
2	1	101.1	2
2	1	99.9	5
2	2	94.6	6
2	2	96.8	16
2	2	100.9	15
2	2	96.0	7
2	3	97.7	11
2	3	94.8	3
2	3	98.5	12
2	3	99.5	4
2	4	103.0	14
2	4	96.0	13
2	4	94.8	1
2	4	107.0	8
3	1	102.9	16
3	1	114.0	9
3	1	103.0	13
3	1	103.9	4
3	2	102.3	15
3	2	109.3	2
3	2	107.2	8
3	2	97.8	11
3	3	109.6	10
3	3	102.9	3
3	3	102.3	6
3	3	113.1	14
3	4	106.3	1
3	4	101.3	12
3	4	108.8	7
3	4	115.3	5
4	1	96.5	1
4	1	112.1	2
4	1	100.4	3
4	1	106.0	16
4	2	102.7	4
4	2	107.5	5
4	2	102.6	6
4	2	107.9	8
4	3	103.9	12
4	3	102.1	9
4	3	110.9	14
4	3	105.1	15
4	4	103.3	11
4	4	103.4	13
4	4	110.9	10
4	4	106.3	7
