fat age breed
3.74 mature Ayrshire
4.01 mature Ayrshire
3.77 mature Ayrshire
3.78 mature Ayrshire
4.1 mature Ayrshire
4.06 mature Ayrshire
4.27 mature Ayrshire
3.94 mature Ayrshire
4.11 mature Ayrshire
4.25 mature Ayrshire
4.44 2-years Ayrshire
4.37 2-years Ayrshire
4.25 2-years Ayrshire
3.71 2-years Ayrshire
4.08 2-years Ayrshire
3.9 2-years Ayrshire
4.41 2-years Ayrshire
4.11 2-years Ayrshire
4.37 2-years Ayrshire
3.53 2-years Ayrshire
3.92 mature Canadian
4.95 mature Canadian
4.47 mature Canadian
4.28 mature Canadian
4.07 mature Canadian
4.1 mature Canadian
4.38 mature Canadian
3.98 mature Canadian
4.46 mature Canadian
5.05 mature Canadian
4.29 2-years Canadian
5.24 2-years Canadian
4.43 2-years Canadian
4 2-years Canadian
4.62 2-years Canadian
4.29 2-years Canadian
4.85 2-years Canadian
4.66 2-years Canadian
4.4 2-years Canadian
4.33 2-years Canadian
4.54 mature Guernsey
5.18 mature Guernsey
5.75 mature Guernsey
5.04 mature Guernsey
4.64 mature Guernsey
4.79 mature Guernsey
4.72 mature Guernsey
3.88 mature Guernsey
5.28 mature Guernsey
4.66 mature Guernsey
5.3 2-years Guernsey
4.5 2-years Guernsey
4.59 2-years Guernsey
5.04 2-years Guernsey
4.83 2-years Guernsey
4.55 2-years Guernsey
4.97 2-years Guernsey
5.38 2-years Guernsey
5.39 2-years Guernsey
5.97 2-years Guernsey
3.4 mature Holstein
3.55 mature Holstein
3.83 mature Holstein
3.95 mature Holstein
4.43 mature Holstein
3.7 mature Holstein
3.3 mature Holstein
3.93 mature Holstein
3.58 mature Holstein
3.54 mature Holstein
3.79 2-years Holstein
3.66 2-years Holstein
3.58 2-years Holstein
3.38 2-years Holstein
3.71 2-years Holstein
3.94 2-years Holstein
3.59 2-years Holstein
3.55 2-years Holstein
3.55 2-years Holstein
3.43 2-years Holstein
4.8 mature Jersey
6.45 mature Jersey
5.18 mature Jersey
4.49 mature Jersey
5.24 mature Jersey
5.7 mature Jersey
5.41 mature Jersey
4.77 mature Jersey
5.18 mature Jersey
5.23 mature Jersey
5.75 2-years Jersey
5.14 2-years Jersey
5.25 2-years Jersey
4.76 2-years Jersey
5.18 2-years Jersey
4.22 2-years Jersey
5.98 2-years Jersey
4.85 2-years Jersey
6.55 2-years Jersey
5.72 2-years Jersey
