"weight" "lengthc" "lengthf" "lengthp" "Fat02" "Fat03" "Fat11" "Meat11" "Fat12" "Meat12" "Fat13" "Meat13" "Fat14" "Fat16" "LeanMeat" "slhouse" "sex"
"1" 75.4 172 132 51 12 18 17 51 12 51 12 61 15 16 56.524747206 "b" "b"
"2" 73.5 165 132 50 13 14 17 49 15 48 15 54 17 19 57.579582876 "b" "a"
"3" 70.3 177 137 54 11 15 14 38 11 34 11 40 13 14 55.889939811 "b" "a"
"4" 75 169 130 49 10 15 17 58 12 58 11 58 13 12 61.817192601 "b" "b"
"5" 77.3 167 133 50 9 13 14 51 12 48 13 54 12 10 62.959641256 "b" "b"
"6" 69.7 166 131 49 10 15 20 40 14 40 14 45 14 19 54.578700995 "b" "b"
"7" 75.8 168 132 50 7 12 12 55 8 56 7 65 9 9 67.088977424 "b" "a"
"8" 75.3 173 135 51 15 21 22 57 19 52 16 56 16 16 54.998643148 "b" "b"
"9" 76.7 173 135 51 10 13 16 52 12 54 14 59 14 11 60.493333333 "b" "a"
"10" 79.9 170 133 51 10 16 18 62 16 61 13 64 15 15 58.796954315 "b" "a"
"11" 71.7 163 130 47 12 12 13 53 13 51 11 56 13 12 61.530117043 "b" "b"
"12" 87.2 171 138 50 11 16 14 61 13 57 14 60 13 17 62.824713316 "b" "a"
"13" 69.3 170 129 48 10 17 12 41 14 40 12 47 15 12 63.086563684 "b" "b"
"14" 84.8 175 137 51 10 16 15 65 14 73 11 79 16 13 58.329355609 "b" "b"
"15" 70.5 165 128 49 12 12 13 55 12 57 9 62 13 12 61.773584906 "b" "a"
"16" 70.9 162 129 48 11 14 15 43 15 45 11 52 13 11 58.794346697 "b" "b"
"17" 69.7 169 131 50 10 14 16 40 14 32 14 37 15 14 56.299212598 "b" "b"
"18" 75.8 173 136 51 11 15 12 52 10 52 10 56 12 11 62.15712743 "b" "a"
"19" 79.9 169 132 50 12 17 18 58 16 60 14 63 14 17 60.459740919 "b" "b"
"20" 78.4 174 135 51 9 13 14 49 13 44 13 50 14 10 62.090556274 "b" "a"
"21" 69.3 166 131 49 9 13 13 49 11 49 10 54 11 10 62.13740458 "b" "a"
"22" 76.2 171 133 53 15 21 20 49 19 51 16 56 22 19 49.97339718 "b" "b"
"23" 82 168 132 49 9 14 16 62 13 65 13 69 15 13 65.404530744 "b" "a"
"24" 77.2 164 132 46 11 21 21 47 18 47 15 52 17 19 57.159001314 "b" "a"
"25" 66.3 158 128 47 14 17 18 49 14 47 14 52 20 19 53.296836983 "b" "a"
"26" 73.2 170 137 49 11 14 14 51 14 45 12 55 16 13 57.46403385 "b" "b"
"27" 74.9 176 135 52 12 19 18 41 16 38 14 49 18 15 55.31614654 "b" "b"
"28" 62.3 164 127 49 8 10 10 40 8 44 9 53 11 11 63.209836066 "b" "a"
"29" 74.9 172 133 51 11 15 16 48 14 44 12 56 15 15 59.215210356 "b" "b"
"30" 82.6 173 134 51 14 18 20 56 15 56 17 56 16 18 60.44 "c" "a"
"31" 77.7 176 139 52 12 19 13 48 11 50 10 52 15 15 56.177474403 "a" "b"
"32" 77.2 171 134 50 8 16 14 46 11 50 11 57 14 13 62.545883587 "a" "a"
"33" 80.1 179 139 51 15 21 23 46 17 52 18 50 19 18 52.511346445 "a" "b"
"34" 79.6 170 134 51 12 16 21 51 18 54 14 57 18 18 57.486603725 "a" "b"
"35" 83.8 178 136 51 10 14 17 56 14 60 11 63 14 18 59.706737761 "b" "a"
"36" 68.9 177 137 52 11 16 19 50 16 48 16 47 15 13 54.331770223 "a" "b"
"37" 69.2 167 130 51 11 16 17 49 14 50 12 54 18 15 56.53686088 "a" "b"
"38" 68.3 168 130 50 9 11 14 51 10 54 11 56 10 11 63.615384615 "a" "a"
"39" 74.6 169 133 50 13 19 16 52 18 49 15 54 17 20 55.81058952 "a" "a"
"40" 80.8 172 134 50 13 17 17 62 14 64 12 65 15 14 63.591229839 "a" "b"
"41" 76.9 172 137 50 9 11 14 57 13 59 12 62 11 11 64.915430653 "a" "a"
"42" 65.2 163 129 48 12 17 17 48 13 44 12 47 16 15 57.705735661 "a" "a"
"43" 66.8 159 120 48 9 14 13 52 11 55 11 59 14 12 60.433070866 "a" "b"
"44" 77.2 172 137 49 10 16 12 55 10 58 11 58 12 14 63.558535327 "a" "a"
"45" 78.9 176 135 50 11 16 20 50 13 53 14 53 18 18 57.415265201 "a" "a"
"46" 66.5 169 133 51 7 10 12 46 11 38 10 47 13 13 59.308022045 "b" "b"
"47" 75.9 166 129 47 12 15 13 56 8 57 9 66 10 9 63.848797251 "a" "b"
"48" 80.3 175 134 51 13 21 20 55 15 53 14 56 13 15 60.585710679 "a" "b"
"49" 95.5 183 143 54 13 19 22 58 18 53 18 58 21 22 55.6 "c" "a"
"50" 78.2 176 140 52 12 16 19 55 14 59 14 60 14 13 58.125161624 "a" "b"
"51" 70 168 129 49 12 15 17 45 9 47 11 49 11 12 63.16234334 "a" "b"
"52" 96 182 142 54 14 19 17 50 13 49 14 54 16 16 62.38 "c" "a"
"53" 95.6 183 144 55 15 19 21 59 17 68 14 67 16 17 54.84 "c" "b"
"54" 74.2 175 135 52 11 15 18 48 14 43 13 51 15 18 54.622148942 "a" "b"
"55" 75.5 178 139 52 11 12 13 52 10 53 10 58 13 11 61.349099704 "b" "b"
"56" 85 181 139 54 12 17 17 57 14 54 14 57 16 15 58.31 "c" "b"
"57" 85.8 177 141 52 11 17 16 50 13 48 11 53 12 12 60.556341348 "a" "b"
"58" 68.2 165 132 49 9 10 14 48 13 41 9 51 12 11 62.585438336 "b" "b"
"59" 82.6 171 134 50 15 19 20 58 14 66 15 65 20 19 59.14 "c" "a"
"60" 93.1 180 144 52 16 19 21 61 18 62 18 64 18 23 55.59 "c" "a"
"61" 68.5 169 134 50 10 13 20 58 13 56 15 61 17 18 57.893952934 "a" "a"
"62" 75.5 168 133 49 9 12 12 53 9 57 10 57 11 11 63.320010658 "a" "a"
"63" 70.8 167 129 49 11 13 13 55 12 53 12 56 16 14 60.116042936 "b" "a"
"64" 73.3 169 132 50 16 22 17 46 14 45 13 47 15 13 59.187289089 "a" "b"
"65" 88.7 175 132 53 17 20 20 52 17 54 18 58 18 20 56 "c" "b"
"66" 70.4 171 134 51 10 16 15 52 11 55 10 53 10 10 63.186046512 "a" "b"
"67" 71.9 170 135 52 11 16 14 56 9 55 8 54 9 8 64.263038549 "a" "b"
"68" 71.7 163 129 48 13 18 22 53 19 55 17 52 21 21 52.834422039 "a" "b"
"69" 73.8 174 132 52 12 15 16 48 11 48 11 53 11 11 61.232914161 "a" "b"
"70" 77.8 176 137 51 13 15 13 51 13 48 13 54 14 15 57.876013602 "a" "a"
"71" 95.1 179 142 56 9 14 16 60 16 59 13 62 14 15 59.34 "c" "a"
"72" 74.9 170 134 49 10 17 16 51 14 48 14 49 16 18 57.719155844 "a" "b"
"73" 68.8 171 132 50 9 16 14 51 12 54 14 55 13 12 58.354876616 "a" "a"
"74" 83.8 175 135 50 13 19 16 60 13 58 13 60 13 16 62.375825789 "a" "a"
"75" 72.3 169 134 50 11 17 17 48 14 44 14 46 14 14 57.765567766 "a" "a"
"76" 89.8 182 141 53 14 21 25 50 19 47 19 50 18 25 53.344625113 "b" "b"
"77" 70.8 168 131 48 13 18 19 49 15 60 15 58 15 17 55.885747259 "a" "b"
"78" 72.1 161 127 47 10 15 15 58 11 57 11 61 14 15 62.910259994 "a" "a"
"79" 75.9 175 136 51 12 16 13 56 11 52 8 61 12 13 62.651434644 "b" "a"
"80" 78.7 171 137 50 14 17 15 49 14 52 12 50 16 15 59.176592439 "a" "a"
"81" 80.6 173 135 49 13 17 20 58 17 51 18 53 21 18 55.920687042 "a" "b"
"82" 70.1 170 134 52 11 16 14 55 11 53 8 52 12 10 61.287878788 "a" "b"
"83" 70.4 178 136 53 11 15 21 48 16 48 18 52 14 18 56.042935886 "a" "a"
"84" 88.8 179 140 54 15 21 17 56 15 56 15 59 14 19 60.47 "c" "b"
"85" 77.9 174 134 52 11 15 18 53 14 59 11 57 16 17 61.250326286 "a" "b"
"86" 90.6 180 143 53 12 21 18 56 14 56 15 60 15 16 59.7 "c" "a"
"87" 63.3 162 125 49 11 12 12 47 12 45 10 51 11 10 60.448758752 "a" "b"
"88" 80.7 163 132 47 14 20 20 55 16 62 17 60 18 21 58.717105263 "a" "a"
"89" 74.2 170 130 48 16 25 23 47 20 51 19 46 18 18 54.335120643 "a" "b"
"90" 102.6 183 147 54 14 22 18 65 18 65 16 68 14 16 56.86 "c" "b"
"91" 73.7 173 135 50 10 16 14 52 12 50 11 52 12 8 61.283672347 "a" "b"
"92" 95.6 184 143 54 15 18 17 57 15 59 15 62 16 18 58.5 "c" "a"
"93" 68.3 164 129 49 9 12 12 51 10 48 9 54 9 9 62.822966507 "a" "a"
"94" 77.6 162 131 48 14 18 16 53 16 58 11 62 16 16 57.755155312 "a" "b"
"95" 100.1 182 145 53 14 19 17 55 16 49 16 56 16 17 59.87 "c" "b"
"96" 70.7 173 132 51 14 17 17 46 16 47 13 50 13 12 59.773118897 "a" "b"
"97" 70.4 178 133 54 10 15 15 40 15 32 10 44 17 13 56.820437956 "a" "b"
"98" 84.3 169 132 48 16 21 27 57 24 58 21 61 23 23 55.862068966 "b" "b"
"99" 74.1 177 139 51 8 13 10 54 8 58 11 65 13 11 63.249097473 "b" "a"
"100" 78.8 169 135 48 11 13 13 56 9 54 9 57 12 12 63.232426886 "a" "a"
"101" 70.3 165 129 49 12 16 21 49 16 51 14 54 15 16 56.589124746 "a" "a"
"102" 79 178 140 53 12 17 18 56 14 58 13 59 12 11 62.213326446 "a" "b"
"103" 69.4 167 131 50 11 12 12 46 9 46 9 51 11 11 61.002623142 "a" "a"
"104" 74.4 174 139 51 9 13 12 58 11 59 10 63 15 14 61.693107221 "a" "a"
"105" 80.1 176 140 52 7 13 13 56 10 58 12 61 11 13 65.493421053 "b" "a"
"106" 72.2 181 136 55 14 16 10 39 13 33 9 39 11 12 56.668548842 "a" "a"
"107" 80.7 173 134 50 11 17 14 50 14 46 14 53 12 14 61.449786056 "a" "a"
"108" 69.7 168 129 49 10 13 13 49 11 51 10 53 9 10 63.781367176 "a" "a"
"109" 70.2 158 124 47 15 19 19 50 14 53 12 54 13 13 58.974877274 "a" "b"
"110" 79.9 175 139 53 15 19 15 53 13 56 13 58 13 12 56.372272144 "a" "b"
"111" 76.9 168 136 50 10 13 14 60 11 65 11 62 13 15 63.346581876 "a" "b"
"112" 65.8 164 130 50 10 14 19 44 16 43 13 46 13 10 56.50092081 "b" "b"
"113" 76.9 173 137 51 13 17 18 55 15 55 17 58 16 14 57.792994469 "a" "a"
