"animal" "trt_date" "trt_code"
1083 2003-03-01 117
1083 2003-03-13 117
1083 2003-05-25 117
1083 2003-06-19 117
1075 2003-05-28 117
1075 2003-06-04 117
1075 2003-06-04 117
1075 2003-06-04 117
1025 2003-01-14 117
1032 2004-07-20 117
1032 2004-07-20 117
1032 2004-08-20 117
1032 2004-09-14 117
1032 2005-01-07 117
1086 2003-10-06 117
1086 2003-10-06 117
1086 2005-08-06 117
1086 2003-10-29 117
1136 2003-09-17 117
1136 2004-08-20 117
1136 2004-08-21 117
1165 2003-04-07 117
1165 2003-10-09 117
1172 2003-09-09 117
1172 2004-01-05 117
1172 2004-11-26 117
1172 2004-11-27 117
1124 2003-01-31 117
1124 2004-03-08 117
1124 2004-03-08 117
1118 2003-07-22 117
1118 2003-07-22 117
1227 2003-02-08 117
1180 2004-07-20 117
1180 2004-07-20 117
1180 2005-11-19 117
1180 2005-07-28 117
1180 2005-07-28 117
1268 2005-04-06 117
1268 2006-02-11 117
1268 2006-06-21 117
1159 2002-11-12 117
1159 2002-11-19 117
1159 2002-11-25 117
1149 2002-11-19 117
1149 2002-11-25 117
1111 2004-07-19 117
1106 2004-08-14 117
1106 2004-10-29 117
1106 2004-10-29 117
1106 2004-10-30 117
1106 2004-12-05 117
1106 2004-06-23 117
1127 2003-07-01 117
1138 2004-06-14 117
1138 2004-06-15 117
1121 2003-07-13 117
1121 2003-07-14 117
1233 2003-12-06 117
1233 2004-01-07 117
1233 2004-01-22 117
1096 2003-09-21 117
1096 2003-09-22 117
1096 2003-09-29 117
1134 2004-01-05 117
1031 2003-09-16 117
1031 2003-09-16 117
1009 2002-11-14 117
1009 2002-11-07 117
1009 2002-11-07 117
1009 2002-11-07 117
1009 2002-11-07 117
1017 2004-01-07 117
1012 2003-07-02 117
1012 2003-07-04 117
1012 2003-07-07 117
1012 2003-07-08 117
1012 2003-07-09 117
1061 2003-12-18 117
1036 2002-12-12 117
1040 2004-02-05 117
1040 2004-07-27 117
1040 2004-07-27 117
1040 2004-01-29 117
1140 2002-11-14 117
1140 2002-12-12 117
1171 2002-11-25 117
1171 2003-01-15 117
1171 2003-09-16 117
1171 2003-09-19 117
1166 2003-10-09 117
1166 2003-10-09 117
1166 2003-12-11 117
1166 2003-10-29 117
1167 2003-04-11 117
1167 2003-11-20 117
1167 2003-12-19 117
1161 2002-12-04 117
1041 2004-03-24 117
1063 2002-12-11 117
1170 2002-12-11 117
1170 2002-12-11 117
1170 2002-12-11 117
1170 2002-12-11 117
1169 2003-07-01 117
1141 2003-05-14 117
1141 2003-08-20 117
1141 2003-09-16 117
1141 2004-03-08 117
1141 2004-03-30 117
1141 2004-03-30 117
1153 2003-06-30 117
1153 2003-08-04 117
1153 2003-08-04 117
1153 2003-08-07 117
1153 2004-12-07 117
1153 2004-12-07 117
1181 2002-12-04 117
1155 2006-02-10 117
1155 2006-02-09 117
1155 2006-02-09 117
1155 2006-05-09 117
1186 2003-03-03 117
1186 2003-03-10 117
1182 2003-09-08 117
1182 2003-09-08 117
1182 2003-09-16 117
1182 2004-08-19 117
1182 2004-08-19 117
1187 2003-02-18 117
1193 2003-05-08 117
1193 2003-05-08 117
1234 2003-03-25 117
1234 2004-07-05 117
1220 2003-06-11 117
1220 2004-01-07 117
1220 2004-01-07 117
1220 2004-01-07 117
1220 2004-01-07 117
1220 2004-08-18 117
1220 2006-06-13 117
1220 2006-06-13 117
1220 2005-09-19 117
1212 2003-07-22 117
1212 2003-07-22 117
1212 2003-07-22 117
1212 2003-08-02 117
1212 2003-08-02 117
1229 2003-04-22 117
1229 2003-04-23 117
1229 2003-09-03 117
1229 2005-08-10 117
1229 2005-07-28 117
1237 2003-05-22 117
1237 2003-05-23 117
1237 2003-08-23 117
1237 2003-08-24 117
1237 2003-09-16 117
1237 2004-08-31 117
1239 2003-07-25 117
1239 2003-07-26 117
1232 2004-05-28 117
1232 2006-03-15 117
1232 2006-03-22 117
1232 2006-03-30 117
1232 2006-03-22 117
1216 2004-12-07 117
1216 2004-03-18 117
1221 2003-05-16 117
1221 2003-05-22 117
1221 2003-05-25 117
1221 2003-05-26 117
1241 2003-07-18 117
1241 2003-10-01 117
1241 2004-07-27 117
1241 2006-01-09 117
1241 2006-06-28 117
1241 2003-10-29 117
1241 2003-11-20 117
1241 2005-06-03 117
1215 2004-01-07 117
1215 2005-03-22 117
1215 2003-11-20 117
1219 2003-09-29 117
1219 2003-09-29 117
1219 2003-10-03 117
1219 2003-10-20 117
1246 2005-10-24 117
1246 2005-10-24 117
1246 2004-07-23 117
1247 2003-08-21 117
1248 2003-06-25 117
1192 2003-10-09 117
1192 2004-06-12 117
1192 2004-06-12 117
1192 2004-07-01 117
1192 2006-05-01 117
1192 2003-03-29 117
1192 2005-06-27 117
1192 2006-05-01 117
1251 2003-09-08 117
1251 2005-03-23 117
1251 2005-03-23 117
1190 2003-12-04 117
1190 2004-03-26 117
1190 2004-03-26 117
1190 2004-05-13 117
1190 2004-05-13 117
1190 2004-10-12 117
1190 2005-03-03 117
1190 2005-10-11 117
1190 2005-10-24 117
1190 2003-10-29 117
1195 2003-06-04 117
1198 2003-08-02 117
1198 2005-07-22 117
1198 2005-09-15 117
1199 2003-09-26 117
1199 2003-10-14 117
1201 2004-06-23 117
1201 2004-07-01 117
1201 2004-07-30 117
1252 2004-05-08 117
1254 2003-12-11 117
1255 2003-06-17 117
1255 2004-07-27 117
1255 2005-05-24 117
1255 2004-06-28 117
1255 2004-06-28 117
1257 2003-06-17 117
1257 2003-09-17 117
1258 2003-09-17 117
1258 2004-01-07 117
1258 2004-01-07 117
1258 2004-01-07 117
1258 2004-01-07 117
1258 2004-06-26 117
1258 2004-06-26 117
1260 2003-07-22 117
1260 2003-07-22 117
1260 2003-07-22 117
1260 2003-07-22 117
1260 2005-06-23 117
1260 2005-06-24 117
1261 2004-07-20 117
1261 2004-07-20 117
1264 2003-11-20 117
1265 2005-04-06 117
1004 2004-02-17 117
1021 2003-09-06 117
1021 2004-12-07 117
1021 2005-04-06 117
1021 2005-07-01 117
1097 2003-01-22 117
1097 2003-02-06 117
1097 2003-05-02 117
1082 2003-01-17 117
1082 2003-09-23 117
1082 2005-10-05 117
1082 2005-01-07 117
1069 2002-11-28 117
1064 2004-01-13 117
1064 2004-03-31 117
1064 2004-05-13 117
1064 2004-05-13 117
1080 2003-06-04 117
1080 2003-09-19 117
1080 2004-01-05 117
1080 2003-11-20 117
1001 2003-03-18 117
1070 2004-04-25 117
1070 2004-06-10 117
1070 2004-06-10 117
1056 2004-01-07 117
1056 2004-03-08 117
1056 2004-03-08 117
1084 2003-02-18 117
1051 2002-12-02 117
1051 2004-08-27 117
1051 2004-08-27 117
1051 2004-11-15 117
1051 2005-01-14 117
1051 2005-01-14 117
1027 2003-12-11 117
1027 2004-01-07 117
1266 2004-11-02 117
1266 2004-11-02 117
1023 2003-01-10 117
1023 2003-01-10 117
1023 2003-01-10 117
1023 2003-01-10 117
1023 2003-03-27 117
1023 2003-03-27 117
1023 2003-03-30 117
1023 2003-04-30 117
1057 2004-02-05 117
1057 2004-01-29 117
1081 2003-04-28 117
1095 2004-03-24 117
1046 2003-02-11 117
1047 2002-12-20 117
1071 2003-09-23 117
1270 2005-03-29 117
1270 2006-07-10 117
1270 2005-08-23 117
1270 2006-07-10 117
1270 2006-07-10 117
1270 2006-07-10 117
1270 2006-07-26 117
1270 2006-08-29 117
1271 2006-02-13 117
1272 2005-04-15 117
1128 2003-03-05 117
1128 2003-09-29 117
4 2002-12-14 117
4 2002-12-14 117
4 2005-10-17 117
4 2006-05-26 117
14 2004-09-07 117
14 2005-11-15 117
14 2005-11-16 117
14 2005-11-16 117
14 2005-11-16 117
15 2005-04-12 117
18 2003-05-23 117
18 2004-04-14 117
21 2003-02-06 117
21 2003-02-06 117
21 2003-04-01 117
22 2002-12-06 117
22 2003-08-20 117
22 2003-08-21 117
22 2003-11-13 117
22 2003-11-13 117
22 2003-11-13 117
22 2004-08-31 117
22 2004-08-31 117
22 2005-03-03 117
22 2003-11-13 117
22 2005-01-14 117
22 2004-06-23 117
22 2004-06-23 117
22 2004-06-23 117
23 2003-01-19 117
23 2003-03-20 117
25 2002-12-15 117
28 2003-06-26 117
30 2003-01-10 117
30 2003-07-05 117
35 2003-09-23 117
35 2003-10-23 117
35 2004-08-18 117
44 2003-06-04 117
44 2003-07-15 117
44 2003-07-22 117
44 2003-07-22 117
44 2004-04-29 117
44 2004-05-04 117
45 2005-03-14 117
46 2003-06-11 117
46 2003-06-12 117
46 2004-05-28 117
46 2004-07-30 117
46 2004-07-30 117
46 2004-09-07 117
46 2005-11-14 117
48 2003-01-21 117
48 2003-01-21 117
48 2003-01-21 117
48 2003-01-22 117
48 2004-02-17 117
48 2004-06-15 117
48 2004-06-17 117
48 2004-07-01 117
48 2004-07-30 117
48 2004-07-30 117
49 2003-05-01 117
52 2004-02-05 117
52 2004-02-05 117
52 2005-05-20 117
52 2005-05-23 117
52 2004-01-29 117
52 2005-06-03 117
53 2003-01-28 117
55 2003-05-07 117
58 2004-06-22 117
58 2004-07-23 117
58 2004-07-23 117
58 2004-08-13 117
60 2003-05-27 117
62 2003-02-27 117
62 2003-07-14 117
63 2004-08-13 117
63 2004-08-24 117
63 2004-11-17 117
63 2005-03-23 117
66 2003-05-18 117
70 2004-03-18 117
70 2005-04-05 117
72 2004-03-31 117
72 2004-04-18 117
72 2004-11-15 117
73 2004-04-16 117
73 2004-07-23 117
73 2005-01-31 117
73 2005-01-10 117
73 2003-10-29 117
77 2003-06-04 117
77 2003-06-12 117
77 2003-08-27 117
77 2004-08-07 117
77 2004-08-10 117
79 2006-06-26 117
79 2005-10-12 117
79 2006-06-26 117
79 2006-06-26 117
81 2005-07-22 117
81 2005-07-22 117
85 2003-06-02 117
90 2003-09-03 117
90 2005-05-04 117
90 2005-06-09 117
90 2005-06-09 117
90 2005-06-09 117
92 2003-09-30 117
92 2004-05-30 117
92 2004-07-05 117
92 2005-04-07 117
94 2003-12-11 117
94 2003-12-11 117
94 2003-09-03 117
95 2004-09-17 117
95 2005-01-31 117
95 2005-01-31 117
95 2005-02-01 117
95 2005-04-27 117
95 2005-04-27 117
99 2003-09-16 117
99 2003-09-16 117
100 2004-11-26 117
100 2005-11-01 117
100 2005-06-20 117
103 2003-09-25 117
103 2003-09-03 117
106 2003-10-09 117
107 2003-09-09 117
107 2005-02-17 117
107 2003-09-03 117
109 2003-05-28 117
109 2003-08-04 117
109 2003-08-07 117
109 2004-01-20 117
109 2004-01-20 117
109 2004-01-20 117
109 2004-01-20 117
109 2004-02-02 117
109 2004-07-15 117
109 2004-07-30 117
109 2003-09-03 117
113 2003-11-13 117
113 2003-11-13 117
113 2003-11-13 117
113 2003-11-13 117
113 2003-11-14 117
113 2004-12-08 117
113 2004-12-08 117
113 2005-01-03 117
114 2003-09-26 117
114 2004-08-22 117
114 2004-03-17 117
114 2005-07-18 117
114 2005-07-18 117
114 2005-07-18 117
114 2005-08-15 117
114 2005-08-15 117
114 2004-03-18 117
120 2003-05-19 117
120 2003-06-25 117
120 2005-03-22 117
120 2006-06-28 117
121 2004-05-14 117
122 2005-09-24 117
122 2006-06-21 117
122 2005-09-23 117
125 2003-10-15 117
125 2003-11-20 117
126 2006-07-20 117
126 2006-10-16 117
134 2004-01-13 117
134 2004-01-13 117
134 2004-01-13 117
134 2004-01-13 117
134 2004-03-16 117
134 2004-10-26 117
134 2005-03-02 117
140 2005-01-07 117
141 2004-08-16 117
141 2004-08-16 117
142 2005-10-20 117
142 2005-10-19 117
142 2005-10-19 117
142 2005-10-19 117
143 2003-09-26 117
143 2006-06-23 117
144 2004-02-02 117
144 2004-01-29 117
145 2005-02-23 117
146 2004-02-18 117
147 2006-03-22 117
147 2006-03-22 117
155 2004-11-26 117
155 2004-12-27 117
155 2004-06-28 117
157 2004-02-11 117
157 2004-10-16 117
157 2004-10-22 117
157 2005-02-14 117
157 2005-03-14 117
157 2005-03-14 117
157 2005-04-15 117
157 2005-04-18 117
157 2004-03-16 117
158 2004-10-26 117
159 2005-03-09 117
161 2005-02-23 117
161 2005-01-10 117
161 2005-10-05 117
163 2003-09-08 117
163 2003-09-08 117
163 2006-08-28 117
163 2006-08-29 117
163 2006-08-25 117
163 2005-10-12 117
