lydefrihed klarhed karat pris logpris
VS E 0.31 1555 7.34923082461333
VS F 0.31 1427 7.26332961747684
IFV G 0.31 1427 7.26332961747684
VS H 0.31 1126 7.02642680869964
VS F 0.32 1468 7.29165620917446
VS G 0.32 1202 7.09174211509515
VS E 0.33 1327 7.1906760343322
VS E 0.34 1693 7.43425738213314
VS F 0.34 1551 7.34665516317654
VS G 0.34 1410 7.25134498337221
VS G 0.34 1269 7.14598446771439
VS H 0.34 1316 7.18235211188526
VS H 0.34 1222 7.10824413973154
VS E 0.35 1738 7.46049030582534
VS F 0.35 1593 7.37337430991005
VS G 0.35 1447 7.27724772663148
VS H 0.35 1255 7.13489085156588
VS F 0.36 1635 7.39939808333135
IFV H 0.36 1485 7.3031700512368
VS F 0.37 1420 7.25841215059531
VS H 0.37 1420 7.25841215059531
VS F 0.4 1911 7.55538194424027
VS H 0.4 1525 7.32974968904151
VS F 0.41 1956 7.57865685059476
IFV H 0.43 1747 7.46565531013406
IFV E 0.46 2942 7.98684490116138
IFV G 0.48 2532 7.83676478326407
VS E 0.5 3501 8.16080392095467
VS E 0.5 3501 8.16080392095467
IFV F 0.5 3501 8.16080392095467
VS F 0.5 3293 8.09955428237636
VS G 0.5 3016 8.01168672912785
IFV F 0.51 3567 8.17948018535889
VS G 0.51 3205 8.07246736935477
VS E 0.52 3635 8.19836438996762
IFV F 0.52 3635 8.19836438996762
VS F 0.52 3418 8.13681086367554
IFV F 0.53 3701 8.21635833238616
VS F 0.53 3480 8.15478757276852
IFV G 0.53 3407 8.13358741766097
VS E 0.54 3767 8.23403420769204
IFV F 0.54 4066 8.3104149941883
IFV E 0.55 4138 8.32796785830549
VS F 0.55 3605 8.19007704971905
IFV G 0.55 3529 8.16876982367527
VS F 0.56 3667 8.20712916807133
IFV G 0.57 3651 8.20275638165564
IFV G 0.59 3773 8.23562571996431
VS F 0.6 4291 8.36427508499152
IFV E 0.62 5845 8.67334187390617
IFV G 0.63 4401 8.38958706681109
IFV G 0.64 4759 8.46779284112111
IFV H 0.66 4300 8.36637030168165
VS E 0.5 3501 8.16080392095467
IFV G 0.5 3432 8.14089846060785
IFV F 0.51 3851 8.25608813381491
IFV H 0.55 3605 8.19007704971905
VS E 0.56 3900 8.26873183211774
IFV H 0.57 3415 8.13593277200489
IFV H 0.6 4291 8.36427508499152
IFV E 0.63 6512 8.78140190768238
IFV E 0.31 1628 7.39510754656249
IFV F 0.31 1628 7.39510754656249
IFV H 0.32 1462 7.28756064030972
IFV H 0.33 1503 7.31521838975297
IFV F 0.34 1773 7.48042830607421
IFV F 0.34 1636 7.4000095171627
IFV F 0.35 1821 7.50714107972761
IFV G 0.35 1540 7.33953769540767
IFV G 0.4 2276 7.73017479524622
IFV F 0.47 2651 7.88269220628903
VS F 0.48 2383 7.77611547709874
IFV G 0.5 3652 8.20303024171486
IFV E 0.51 3722 8.2220164372022
IFV F 0.51 3722 8.2220164372022
IFV F 0.55 3706 8.2177084068453
IFV E 0.56 4070 8.31139827843664
IFV G 0.56 3470 8.1519098729409
IFV E 0.58 4831 8.4828087645544
IFV F 0.58 4209 8.34498036877057
IFV G 0.58 3821 8.2482674474469
IFV F 0.5 3778 8.23695004806146
IFV G 0.5 3432 8.14089846060785
IFV F 0.51 3851 8.25608813381491
VS E 0.52 3346 8.11552088154677
IFV H 0.52 3130 8.0487882835342
IFV F 0.53 3995 8.29279885820037
IFV F 0.53 3701 8.21635833238616
IFV G 0.55 3529 8.16876982367527
VS F 0.56 3667 8.20712916807133
VS F 0.56 3202 8.07153089355666
VS F 0.57 3256 8.08825472712243
IFV H 0.57 3415 8.13593277200489
IFV H 0.58 3792 8.24064886337491
VS G 0.6 3925 8.27512163021651
VS G 0.6 3421 8.1376881849776
IFV H 0.6 3925 8.27512163021651
IFV H 0.61 3616 8.19312372151207
IFV H 0.64 3785 8.23880116587155
IFV H 0.66 4300 8.36637030168165
