dose y
1.6907 1
1.6907 1
1.6907 1
1.6907 1
1.6907 1
1.6907 1
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.6907 0
1.7242 1
1.7242 1
1.7242 1
1.7242 1
1.7242 1
1.7242 1
1.7242 1
1.7242 1
1.7242 1
1.7242 1
1.7242 1
1.7242 1
1.7242 1
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7242 0
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 1
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7552 0
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 1
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.7842 0
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 1
1.8113 0
1.8113 0
1.8113 0
1.8113 0
1.8113 0
1.8113 0
1.8113 0
1.8113 0
1.8113 0
1.8113 0
1.8113 0
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 1
1.8369 0
1.8369 0
1.8369 0
1.8369 0
1.8369 0
1.8369 0
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 1
1.861 0
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
1.8839 1
