"sample" "dose" "pigid" "litter" "x14"
"1" "1" "9.3" "5522" "1" 4.40000000
"2" "2" "9.3" "5522" "1" 1.70000000
"3" "1" "4.4" "5524" "1" 1.90000000
"4" "2" "4.4" "5524" "1" 0.73333333
"5" "1" "6.2" "5525" "1" 2.45000000
"6" "2" "6.2" "5525" "1" 1.13333333
"7" "1" "0" "5526" "1" 0.45000000
"8" "2" "0" "5526" "1" 0.26666667
"9" "1" "4.4" "5530" "2" 2.50000000
"10" "2" "4.4" "5530" "2" 0.83333333
"11" "1" "0" "5533" "2" 0.50000000
"12" "2" "0" "5533" "2" 0.23333333
"13" "1" "9.3" "5534" "2" 3.65000000
"14" "2" "9.3" "5534" "2" 1.06666667
"15" "1" "6.2" "5535" "2" 2.55000000
"16" "2" "6.2" "5535" "2" 1.26666667
"17" "1" "4.4" "5562" "5" 2.50000000
"18" "2" "4.4" "5562" "5" 1.13333333
"19" "1" "6.2" "5564" "5" 3.55000000
"20" "2" "6.2" "5564" "5" 1.60000000
"21" "1" "9.3" "5565" "6" 3.50000000
"22" "2" "9.3" "5565" "6" 1.43333333
"23" "2" "6.2" "5566" "6" 1.63333333
"24" "1" "0" "5567" "5" 0.45000000
"25" "2" "0" "5567" "5" 0.20000000
"26" "1" "0" "5570" "4" 0.30000000
"27" "2" "0" "5570" "4" 0.06666667
"28" "1" "9.3" "5571" "4" 4.70000000
"29" "2" "9.3" "5571" "4" 1.86666667
"30" "1" "6.2" "5573" "4" 3.10000000
"31" "2" "6.2" "5573" "4" 1.53333333
"32" "1" "4.4" "5575" "4" 2.50000000
"33" "2" "4.4" "5575" "4" 1.06666667
"34" "1" "0" "5587" "3" 0.10000000
"35" "2" "0" "5587" "3" 0.03333333
"36" "1" "4.4" "5588" "3" 1.75000000
"37" "2" "4.4" "5588" "3" 0.65000000
"38" "1" "6.2" "5589" "3" 2.50000000
"39" "2" "6.2" "5589" "3" 1.03333333
"40" "1" "9.3" "5590" "3" 3.70000000
"41" "2" "9.3" "5590" "3" 1.36666667
"42" "1" "4.4" "5661" "6" 1.90000000
"43" "2" "4.4" "5661" "6" 0.70000000
"44" "1" "0" "5663" "6" 0.30000000
"45" "2" "0" "5663" "6" 0.10000000
"46" "2" "6.2" "5664" "5" 1.80000000
"47" "1" "9.3" "5665" "6" 3.00000000
"48" "2" "9.3" "5665" "6" 1.83333333
"49" "1" "6.2" "5666" "6" 2.45000000
