ratid drug time wbc rbc y
1 1 1 15 2 14
1 1 2 18 3 14
1 1 3 19 2 12
1 1 4 24 5 11
2 1 1 8 2 17
2 1 2 11 4 18
2 1 3 14 4 18
2 1 4 14 5 16
3 1 1 4 7 23
3 1 2 5 5 20
3 1 3 6 4 19
3 1 4 4 4 19
4 1 1 16 3 13
4 1 2 14 4 12
4 1 3 14 4 12
4 1 4 12 2 11
5 1 1 6 7 24
5 1 2 4 6 20
5 1 3 4 5 20
5 1 4 4 2 19
6 1 1 22 4 12
6 1 2 20 3 12
6 1 3 21 3 10
6 1 4 18 2 9
7 1 1 18 5 16
7 1 2 17 3 16
7 1 3 17 5 14
7 1 4 16 2 12
8 1 1 4 8 28
8 1 2 7 7 26
8 1 3 4 4 26
8 1 4 4 4 26
9 1 1 14 3 14
9 1 2 12 4 13
9 1 3 12 4 12
9 1 4 10 5 10
10 1 1 10 3 16
10 1 2 10 4 15
10 1 3 10 5 15
10 1 4 10 2 14
11 2 1 14 6 16
11 2 2 14 6 15
11 2 3 16 7 15
11 2 4 17 6 14
12 2 1 7 4 36
12 2 2 7 4 32
12 2 3 6 4 30
12 2 4 5 2 29
13 2 1 9 8 18
13 2 2 8 8 16
13 2 3 9 7 17
13 2 4 11 4 15
14 2 1 21 3 14
14 2 2 20 3 13
14 2 3 20 4 13
14 2 4 20 3 12
15 2 1 18 4 19
15 2 2 17 4 19
15 2 3 17 2 18
15 2 4 17 2 17
16 2 1 3 10 38
16 2 2 6 10 38
16 2 3 6 8 37
16 2 4 2 7 37
17 2 1 8 3 18
17 2 2 9 3 18
17 2 3 9 2 17
17 2 4 8 2 16
18 2 1 29 6 8
18 2 2 30 6 8
18 2 3 29 5 7
18 2 4 29 4 6
19 2 1 8 9 19
19 2 2 8 9 19
19 2 3 8 8 18
19 2 4 7 8 17
20 2 1 5 8 36
20 2 2 4 7 35
20 2 3 4 7 30
20 2 4 3 7 29
21 3 1 16 2 15
21 3 2 17 3 16
21 3 3 17 4 17
21 3 4 18 2 15
22 3 1 13 6 17
22 3 2 11 4 16
22 3 3 12 5 16
22 3 4 12 4 18
23 3 1 7 3 28
23 3 2 8 2 25
23 3 3 6 2 27
23 3 4 5 3 31
24 3 1 9 4 29
24 3 2 8 5 30
24 3 3 9 3 32
24 3 4 9 3 30
25 3 1 18 3 11
25 3 2 19 2 12
25 3 3 21 5 12
25 3 4 20 4 13
26 3 1 23 5 8
26 3 2 25 5 10
26 3 3 24 4 9
26 3 4 24 4 8
27 3 1 27 7 7
27 3 2 28 6 8
27 3 3 27 6 8
27 3 4 30 4 7
28 3 1 30 6 4
28 3 2 32 7 5
28 3 3 33 8 5
28 3 4 35 7 4
29 3 1 17 4 14
29 3 2 19 3 13
29 3 3 20 3 13
29 3 4 21 2 12
30 3 1 12 3 17
30 3 2 12 5 15
30 3 3 13 4 16
30 3 4 11 5 16
