age   breathless wheeze   number 
20-24   yes        yes     9
20-24   yes         no     7
20-24    no        yes    95
20-24    no         no  1841
25-29   yes        yes    23
25-29   yes         no     9
25-29    no        yes   105
25-29    no         no  1654
30-34   yes        yes    54
30-34   yes         no    19
30-34    no        yes   177
30-34    no         no  1863
35-39   yes        yes   121
35-39   yes         no    48
35-39    no        yes   257
35-39    no         no  2357
40-44   yes        yes   169
40-44   yes         no    54
40-44    no        yes   273
40-44    no         no  1778
45-49   yes        yes   269
45-49   yes         no    88
45-49    no        yes   324
45-39    no         no  1712
50-54   yes        yes   404
50-54   yes         no   117
50-54    no        yes   245
50-54    no         no  1324
55-59   yes        yes   406
55-59   yes         no   152 
55-59    no        yes   225
55-59    no         no   967
60-64   yes        yes   372
60-64   yes         no   106
60-64    no        yes   132
60-64    no         no   526
