count variety size
 70 A 17.64412
 93 A 18.15384
 93 A 18.72849
 93 A 18.81465
125 A 18.85516
 82 A 18.97296
112 A 18.99530
 89 A 19.16540
 96 A 19.18890
 98 A 19.28758
103 A 19.31859
 86 A 19.45050
103 A 19.52769
119 A 19.56080
115 A 19.57744
112 A 19.65140
 93 A 19.65396
110 A 19.76990
 83 A 19.92782
 98 A 20.05089
101 A 20.06196
101 A 20.08528
101 A 20.11707
 91 A 20.12535
 97 A 20.13599
106 A 20.25903
101 A 20.43251
112 A 20.52487
 82 A 20.53459
 95 A 20.62266
104 A 20.63642
101 A 20.74004
 89 A 20.76097
 97 A 20.97524
103 A 21.00766
114 A 21.13304
 95 A 21.17509
 85 A 21.18499
100 A 21.27374
102 A 21.27555
100 A 21.31887
104 A 21.38749
 90 A 21.40694
103 A 21.40890
113 A 21.49225
 98 A 21.52133
130 A 21.89155
 97 A 21.90325
115 A 22.23083
126 A 22.29765
101 B 17.90350
125 B 18.51361
121 B 18.63700
111 B 18.71676
106 B 18.82565
108 B 18.91394
110 B 18.93907
136 B 19.23182
102 B 19.25882
104 B 19.28280
129 B 19.29826
106 B 19.35355
116 B 19.40454
133 B 19.44588
113 B 19.50145
 97 B 19.53291
131 B 19.65117
130 B 19.65400
107 B 19.71514
122 B 19.71897
126 B 19.77763
123 B 19.83961
120 B 19.84029
132 B 19.85767
136 B 19.94014
110 B 20.00781
111 B 20.06597
106 B 20.12808
113 B 20.14502
104 B 20.19865
129 B 20.23490
109 B 20.23793
134 B 20.25523
126 B 20.33429
148 B 20.36048
154 B 20.36770
132 B 20.49453
107 B 20.52822
124 B 20.81034
121 B 20.83352
122 B 20.88478
114 B 21.00833
132 B 21.11527
139 B 21.15859
109 B 21.23882
121 B 21.34733
129 B 21.42702
133 B 21.46160
141 B 21.74999
145 B 21.96482
