rang kommune nviolent ratio diff
1 Farsø 10 28.6 12.0
2 Bredebro 5 26.6 -1.0
3 Faaborg 17 24.3 19.7
4 Fakse 12 22.3 16.5
5 Ishøj 20 21.6 6.2
6 Aarup 5 20.9 10.1
7 Højreby 3 20.5 14.8
8 Fuglebjerg 6 18.7 -0.7
9 Frederiksværk 12 16.9 5.8
10 Holsted 5 16.7 16.7
11 Helsinge 13 16.5 15.0
12 Bogense 4 15.9 6.2
13 Tårnby 21 14.8 11.8
14 Frederikssund 10 14.5 7.9
15 Aabenraa 12 14.2 2.9
16 Skagen 6 14.2 9.8
17 Lundtoft 4 14.1 6.8
18 Nørre_Aaby 3 14.0 14.0
19 Rønde 4 13.9 9.4
20 Nørre_Alslev 5 13.7 13.7
21 Hirtshals 8 13.7 4.7
22 Hvidebæk 3 13.3 13.3
23 Roskilde 25 12.9 7.4
24 Støvring 7 12.6 8.8
25 Slangerup 4 11.6 5.2
26 Bornholm_(excl._Christiansø) 19 11.4 7.8
27 Tølløse 5 11.4 4.6
28 Otterup 5 11.2 -1.8
29 Mariager 4 11.1 -0.5
30 Brædstrup 4 11.1 11.1
31 Svendborg 18 11.0 6.3
32 Tønder 6 11.0 -9.0
33 Svinninge 3 11.0 7.0
34 Fredensborg-Humlebæk 9 10.9 10.9
35 Jægerspris 4 10.8 5.2
36 Bramming 7 10.7 8.9
37 Odder 10 10.7 -1.2
38 Kalundborg 8 10.7 6.6
39 Gudme 3 10.4 10.4
40 Maribo 4 10.4 0.0
41 Tornved 4 10.3 10.3
42 Sorø 6 10.2 10.2
43 Sønderborg 11 10.1 3.3
44 Ølstykke 6 10.1 -2.3
45 Blåvandshuk 2 10.1 10.1
46 Ejby 4 10.0 1.7
47 Hadsten 5 9.9 0.7
48 Korsør 8 9.7 2.6
49 Haarby 2 9.7 3.8
50 Karlebo 8 9.5 -2.3
51 Thyborøn-Harboøre 2 9.5 9.5
52 Farum 8 9.3 4.9
53 Tørring-Uldum 5 9.2 7.2
54 Middelfart 7 9.0 9.0
55 Nakskov 5 9.0 9.0
56 Haderslev 11 9.0 0.2
57 Skærbæk 3 8.9 -12.2
58 Højer 1 8.8 8.8
59 Vojens 6 8.8 5.6
60 Møldrup 3 8.7 5.1
61 Trundholm 4 8.7 3.6
62 Sønderhald 3 8.6 8.6
63 Bjerringbro 5 8.6 6.7
64 Ringe 4 8.5 8.5
65 Køge 13 8.5 -1.2
66 Nykøbing-Rørvig 2 8.4 8.4
67 Horsens 17 8.4 -2.1
68 Nibe 3 8.4 5.3
69 Skævinge 2 8.3 3.2
70 Høng 3 8.2 -6.6
71 Christiansfeld 4 8.2 3.0
72 Jernløse 2 8.2 -1.0
73 Græsted-Gilleleje 7 8.1 1.8
74 Hundested 3 8.0 8.0
75 Broby 2 8.0 8.0
76 Dragør 4 8.0 -2.9
77 Nørre_Djurs 3 7.9 7.9
78 Randers 16 7.9 1.8
79 Frederiksborg_Amt 117 7.9 2.2
80 Odense 48 7.9 0.2
81 Albertslund 10 7.9 6.2
82 København 85 7.9 1.6
83 Rødby 2 7.8 3.7
