weight protein amount
90 beef low
76 beef low
90 beef low
64 beef low
86 beef low
51 beef low
72 beef low
90 beef low
95 beef low
78 beef low
107 cereal low
95 cereal low
97 cereal low
80 cereal low
98 cereal low
74 cereal low
74 cereal low
67 cereal low
89 cereal low
58 cereal low
49 pork low
82 pork low
73 pork low
86 pork low
81 pork low
97 pork low
106 pork low
70 pork low
61 pork low
82 pork low
73 beef high
102 beef high
118 beef high
104 beef high
81 beef high
107 beef high
100 beef high
87 beef high
117  beef high
111 beef high
98 cereal high
74 cereal high
56 cereal high
111 cereal high
95 cereal high
88 cereal high
82 cereal high
77 cereal high
86 cereal high
92 cereal high
94 pork high
79 pork high
96 pork high
98 pork high
102 pork high
102 pork high
108 pork high
91 pork high
120 pork high
105 pork high
