"family.id" "animal.id" "vessel" "date" "length" "weight" "sex" "month"
2003004 2251 36 15942 15.40 0.0501 "m"  5
2003004 2251 36 15970 19.80 0.1198 "m"  6
2003004 2251 36 16009 23.60 0.1887 "m"  7
2003004 2251 36 16034 26.00 0.2538 "m"  8
2003004 2251 36 16055 28.20 0.3642 "m"  9
2003004 2251 36 16106 36.90 0.8452 "m" 11
2003004 2252  7 15942 16.10 0.0600 "m"  5
2003004 2252  7 15971 21.20 0.1400 "m"  6
2003004 2252  7 16008 25.40 0.2366 "m"  7
2003004 2252  7 16034 28.20 0.3222 "m"  8
2003004 2252  7 16055 30.60 0.4284 "m"  9
2003004 2252  7 16105 37.75 0.9309 "m" 11
2003004 2257 16 15942 13.70 0.0354 "f"  5
2003004 2257 16 15971 17.40 0.0785 "f"  6
2003004 2257 16 16007 20.80 0.1335 "f"  7
2003004 2257 16 16033 23.40 0.1936 "f"  8
2003004 2257 16 16054 26.10 0.2851 "f"  9
2003004 2257 16 16111 31.90 0.5297 "f" 11
2003004 2262 36 15942 14.80 0.0436 "f"  5
2003004 2262 36 15970 19.10 0.1083 "f"  6
2003004 2262 36 16009 24.00 0.1916 "f"  7
2003004 2262 36 16034 26.80 0.2749 "f"  8
2003004 2262 36 16055 29.10 0.3683 "f"  9
2003004 2262 36 16106 31.45 0.7864 "f" 11
2003008 2398 15 15943 15.00 0.0440 "f"  5
2003008 2398 15 15974 18.50 0.0839 "f"  6
2003008 2398 15 16006 21.50 0.1339 "f"  7
2003008 2398 15 16033 24.10 0.1806 "f"  8
2003008 2398 15 16054 26.50 0.2526 "f"  9
2003008 2398 15 16110 33.55 0.5385 "f" 11
2003008 2400 15 15943 16.20 0.0576 "m"  5
2003008 2400 15 15974 20.40 0.1201 "m"  6
2003008 2400 15 16006 24.10 0.2132 "m"  7
2003008 2400 15 16033 27.60 0.3163 "m"  8
2003008 2400 15 16054 30.80 0.4340 "m"  9
2003008 2400 15 16110 38.80 0.9031 "m" 11
2003008 2401 15 15943 15.80 0.0526 "f"  5
2003008 2401 15 15974 16.80 0.0615 "f"  6
2003008 2401 15 16006 22.80 0.1760 "f"  7
2003008 2401 15 16033 26.50 0.2429 "f"  8
2003008 2401 15 16054 28.40 0.3145 "f"  9
2003008 2401 15 16110 35.80 0.6502 "f" 11
2003008 2404 15 15943 15.40 0.0501 "m"  5
2003008 2404 15 15974 19.50 0.1085 "m"  6
2003008 2404 15 16006 22.80 0.1793 "m"  7
2003008 2404 15 16033 26.00 0.2515 "m"  8
2003008 2404 15 16054 28.50 0.3518 "m"  9
2003008 2404 15 16110 37.00 0.7774 "m" 11
2003026 2541 26 15943 15.40 0.0518 "m"  5
2003026 2541 26 15970 19.80 0.1154 "m"  6
2003026 2541 26 16005 23.30 0.1878 "m"  7
2003026 2541 26 16034 26.40 0.2700 "m"  8
2003026 2541 26 16054 29.20 0.3885 "m"  9
2003026 2541 26 16106 37.75 0.8738 "m" 11
2003026 2542 15 15943 13.30 0.0338 "f"  5
2003026 2542 15 15974 17.50 0.0800 "f"  6
2003026 2542 15 16006 20.40 0.1384 "f"  7
2003026 2542 15 16033 23.40 0.2094 "f"  8
2003026 2542 15 16054 26.20 0.3046 "f"  9
2003026 2542 15 16110 33.55 0.6549 "f" 11
2003026 2543 26 15943 13.90 0.0394 "m"  5
2003026 2543 26 15970 17.00 0.0838 "m"  6
2003026 2543 26 16005 19.80 0.1324 "m"  7
2003026 2543 26 16034 21.40 0.1681 "m"  8
2003026 2543 26 16054 23.00 0.2154 "m"  9
2003026 2543 26 16107 27.65 0.4197 "m" 11
2003026 2545 15 15943 15.50 0.0547 "f"  5
2003026 2545 15 15974 19.40 0.1126 "f"  6
2003026 2545 15 16006 23.00 0.1950 "f"  7
2003026 2545 15 16033 25.60 0.2711 "f"  8
2003026 2545 15 16054 28.10 0.3766 "f"  9
2003026 2545 15 16110 35.55 0.7737 "f" 11
2003047 2691 26 15943 14.20 0.0358 "f"  5
2003047 2691 26 15970 18.00 0.0817 "f"  6
2003047 2691 26 16005 21.50 0.1453 "f"  7
2003047 2691 26 16034 24.40 0.2021 "f"  8
2003047 2691 26 16054 25.20 0.2313 "f"  9
2003047 2691 26 16107 31.50 0.5145 "f" 11
2003047 2692 36 15943 15.40 0.0462 "f"  5
2003047 2692 36 15970 18.80 0.0916 "f"  6
2003047 2692 36 16009 22.60 0.1476 "f"  7
2003047 2692 36 16034 25.40 0.2163 "f"  8
2003047 2692 36 16055 27.60 0.2889 "f"  9
2003047 2692 36 16106 33.85 0.6360 "f" 11
2003047 2700 26 15943 16.90 0.0618 "m"  5
2003047 2700 26 15970 21.10 0.1313 "m"  6
2003047 2700 26 16005 25.00 0.2210 "m"  7
2003047 2700 26 16034 27.80 0.3011 "m"  8
2003047 2700 26 16054 29.30 0.3685 "m"  9
2003047 2700 26 16106 36.45 0.7830 "m" 11
2003047 2701 36 15943 15.30 0.0465 "m"  5
2003047 2701 36 15970 19.20 0.1121 "m"  6
2003047 2701 36 16009 23.60 0.1875 "m"  7
2003047 2701 36 16034 26.60 0.2797 "m"  8
2003047 2701 36 16055 29.10 0.3837 "m"  9
2003047 2701 36 16106 36.05 0.8474 "m" 11
2003049 2851  7 15944 15.80 0.0506 "f"  5
2003049 2851  7 15971 20.40 0.1221 "f"  6
2003049 2851  7 16008 25.90 0.2107 "f"  7
2003049 2851  7 16034 27.50 0.2941 "f"  8
2003049 2851  7 16055 29.20 0.3543 "f"  9
2003049 2851  7 16105 34.50 0.6873 "f" 11
2003049 2852 26 15944 17.00 0.0612 "f"  5
2003049 2852 26 15970 21.60 0.1358 "f"  6
2003049 2852 26 16005 26.40 0.2457 "f"  7
2003049 2852 26 16034 29.20 0.3400 "f"  8
2003049 2852 26 16054 31.50 0.4579 "f"  9
2003049 2852 26 16107 38.65 0.9113 "f" 11
2003049 2854 36 15944 15.50 0.0509 "m"  5
2003049 2854 36 15970 19.40 0.1056 "m"  6
2003049 2854 36 16009 22.80 0.1633 "m"  7
2003049 2854 36 16034 25.30 0.2183 "m"  8
2003049 2854 36 16055 27.90 0.3094 "m"  9
2003049 2854 36 16106 35.20 0.6815 "m" 11
2003049 2856 26 15944 14.70 0.0441 "m"  5
2003049 2856 26 15970 19.00 0.1023 "m"  6
2003049 2856 26 16005 22.80 0.1774 "m"  7
2003049 2856 26 16034 25.40 0.2484 "m"  8
2003049 2856 26 16054 27.40 0.3221 "m"  9
2003049 2856 26 16111 33.70 0.6754 "m" 11
