volume rate constr
3.70 0.83 1
3.50 1.09 1
1.25 2.50 1
0.75 1.50 1
0.80 3.20 1
0.70 3.50 1
0.60 0.75 0
1.10 1.70 0
0.90 0.75 0
0.90 0.45 0
0.80 0.57 0
0.55 2.75 0
0.60 3.00 0
1.40 2.33 1
0.75 3.75 1
2.30 1.64 1
3.20 1.60 1
0.85 1.42 1
1.70 1.06 0
1.80 1.80 1
0.40 2.00 0
0.95 1.36 0
1.35 1.35 0
1.50 1.36 0
1.60 1.78 1
0.60 1.50 0
1.80 1.50 1
0.95 1.90 0
1.90 0.95 1
1.60 0.40 0
2.70 0.75 1
2.35 0.03 0
1.10 1.83 0
1.10 2.20 1
1.20 2.00 1
0.80 3.33 1
0.95 1.90 0
0.75 1.90 0
1.30 1.63 1
