"day" "sucrose" "leucine" "density" "logdens"
"1" "1" "1" "1" 24700000 17.0223138015982
"2" "1" "1" "2" 38100000 17.4557248400969
"3" "1" "1" "3" 3.05e+08 19.5358223345717
"4" "1" "2" "1" 12200000 16.3169465097035
"5" "1" "2" "2" 89300000 18.3075120458467
"6" "1" "2" "3" 1.54e+09 21.1550482533719
"7" "1" "3" "1" 23400000 16.9682465803279
"8" "1" "3" "2" 9.58e+08 20.6803583359351
"9" "1" "3" "3" 6.36e+09 22.5732942142984
"10" "1" "4" "1" 5e+08 20.0301186563865
"11" "1" "4" "2" 9.68e+08 20.6907426452408
"12" "1" "4" "3" 2.52e+09 21.6475247384697
"13" "2" "1" "1" 91300000 18.3296613455652
"14" "2" "1" "2" 1.33e+08 18.705859686186
"15" "2" "1" "3" 62900000 17.9570567216707
"16" "2" "2" "1" 1.68e+08 18.9394745373675
"17" "2" "2" "2" 3.56e+08 19.6904412888163
"18" "2" "2" "3" 2.85e+09 21.770584831227
"19" "2" "3" "1" 3.3e+08 19.6146032124248
"20" "2" "3" "2" 9.37e+08 20.6581938402027
"21" "2" "3" "3" 6.92e+09 22.657681606576
"22" "2" "4" "1" 3.65e+08 19.7154079115468
"23" "2" "4" "2" 1.16e+09 20.8716858420647
"24" "2" "4" "3" 8.72e+09 22.8888850748673
"25" "3" "1" "1" 2880000 14.8733008521121
"26" "3" "1" "2" 16500000 16.6188709388708
"27" "3" "1" "3" 1.51e+08 18.8327903947792
"28" "3" "2" "1" 32200000 17.2874770105146
"29" "3" "2" "2" 2.62e+08 19.3838550617254
"30" "3" "2" "3" 3.8e+08 19.7556818106847
"31" "3" "3" "1" 3e+08 19.5192930326205
"32" "3" "3" "2" 6.68e+09 22.622383824495
"33" "3" "3" "3" 3.59e+09 22.0014180394466
"34" "3" "4" "1" 5.05e+08 20.0400689872396
"35" "3" "4" "2" 9.25e+08 20.6453042954767
"36" "3" "4" "3" 1.7e+10 23.5564791810026
"37" "4" "1" "1" 783000 13.5708879749729
"38" "4" "1" "2" 2.9e+07 17.1828063879507
"39" "4" "1" "3" 2.25e+08 19.2316109601687
"40" "4" "2" "1" 3140000 14.9597333578844
"41" "4" "2" "2" 52300000 17.7725069290352
"42" "4" "2" "3" 2.88e+09 21.7810561310943
"43" "4" "3" "1" 9.5e+08 20.6719725425589
"44" "4" "3" "2" 2.87e+08 19.4749927737239
"45" "4" "3" "3" 2.31e+09 21.5605133614801
"46" "4" "4" "1" 3.05e+09 21.8384074275657
"47" "4" "4" "2" 4.7e+08 19.9682432526684
"48" "4" "4" "3" 1.32e+10 23.3034826665387
