id,wave,vd,vi,cov
2464KK,1,0,1,2
2464KK,2,0,1,1
2464KK,3,0,0,1
246Eab,1,0,0,2
246Eab,2,NA,NA,NA
246Eab,3,NA,NA,NA
246Ll6,1,0,1,2
246Ll6,2,0,0,1
246Ll6,3,0,0,3
246pOR,1,1,6,15
246pOR,2,1,6,11
246pOR,3,1,3,11
246WGY,1,NA,4,8
246WGY,2,NA,3,0
246WGY,3,0,3,8
246yDb,1,0,4,3
246yDb,2,0,3,3
246yDb,3,0,2,2
246ZJv,1,0,0,3
246ZJv,2,0,0,3
246ZJv,3,NA,NA,NA
24ddr2,1,0,0,2
24ddr2,2,1,3,8
24ddr2,3,3,3,4
24J1YK,1,0,0,0
24J1YK,2,0,0,0
24J1YK,3,0,5,14
24J5dR,1,0,0,2
24J5dR,2,0,0,3
24J5dR,3,0,0,6
24J5yY,1,1,1,4
24J5yY,2,0,6,3
24J5yY,3,0,4,4
24JadA,1,0,3,7
24JadA,2,0,6,3
24JadA,3,NA,NA,NA
24Jak6,1,0,1,1
24Jak6,2,0,1,1
24Jak6,3,0,1,3
24JaPv,1,0,2,21
24JaPv,2,0,1,14
24JaPv,3,0,1,9
24JayK,1,0,0,2
24JayK,2,0,1,2
24JayK,3,0,1,1
24JbLb,1,0,4,3
24JbLb,2,0,4,2
24JbLb,3,0,1,5
24JbpK,1,0,0,6
24JbpK,2,0,1,11
24JbpK,3,NA,3,11
24JBzK,1,0,2,11
24JBzK,2,0,4,8
24JBzK,3,0,3,5
24JlyK,1,0,1,10
24JlyK,2,0,0,4
24JlyK,3,0,0,3
24JM0R,1,0,0,2
24JM0R,2,0,0,1
24JM0R,3,0,0,1
24JMAY,1,0,0,0
24JMAY,2,0,0,0
24JMAY,3,0,0,0
24JMd6,1,0,1,5
24JMd6,2,0,1,3
24JMd6,3,0,0,2
24JMMo,1,0,0,0
24JMMo,2,0,0,0
24JMMo,3,0,0,0
24JMRZ,1,0,0,0
24JMRZ,2,0,0,0
24JMRZ,3,0,0,0
24JMZn,1,0,2,3
24JMZn,2,0,1,3
24JMZn,3,0,0,3
24Jp4R,1,0,0,15
24Jp4R,2,NA,NA,NA
24Jp4R,3,0,1,2
24Jpjo,1,0,2,1
24Jpjo,2,0,2,0
24Jpjo,3,0,2,2
24JplK,1,0,3,0
24JplK,2,0,1,2
24JplK,3,0,1,0
24JpPb,1,0,0,2
24JpPb,2,0,0,0
24JpPb,3,0,0,7
24JR06,1,3,3,8
24JR06,2,3,3,8
24JR06,3,0,0,0
24Jx9r,1,0,3,5
24Jx9r,2,0,2,7
24Jx9r,3,0,4,5
24JxMR,1,0,6,2
24JxMR,2,NA,NA,NA
24JxMR,3,0,0,3
24Jz8n,1,0,0,3
24Jz8n,2,0,0,6
24Jz8n,3,0,0,8
24JzGn,1,0,3,7
24JzGn,2,0,1,2
24JzGn,3,0,2,5
24JzVK,1,0,4,15
24JzVK,2,0,4,17
24JzVK,3,0,6,24
24kddb,1,0,1,0
24kddb,2,0,1,1
24kddb,3,0,1,1
24kQ4v,1,0,2,0
24kQ4v,2,0,3,1
24kQ4v,3,0,2,0
24kWzr,1,0,3,5
24kWzr,2,0,1,6
24kWzr,3,0,1,1
24m80n,1,0,1,0
24m80n,2,0,1,0
24m80n,3,0,1,0
24mjNA,1,0,4,0
24mjNA,2,0,2,0
24mjNA,3,0,1,0
24mpK6,1,NA,1,14
24mpK6,2,0,3,5
24mpK6,3,NA,3,7
24q1dK,1,0,4,13
24q1dK,2,NA,6,10
24q1dK,3,0,6,20
24qapo,1,0,1,5
24qapo,2,0,2,11
24qapo,3,0,0,6
24qgl6,1,0,1,14
24qgl6,2,0,5,6
24qgl6,3,0,4,4
24qGzR,1,0,0,2
24qGzR,2,0,1,2
24qGzR,3,0,0,1
24qjYK,1,0,0,2
24qjYK,2,0,2,0
24qjYK,3,0,1,0
24qMlY,1,0,2,10
24qMlY,2,0,1,5
24qMlY,3,0,2,3
24qMNZ,1,0,3,18
24qMNZ,2,0,5,11
24qMNZ,3,0,2,10
24qNwr,1,0,1,7
24qNwr,2,0,2,3
24qNwr,3,0,2,7
24qrPb,1,0,3,3
24qrPb,2,0,5,1
24qrPb,3,0,0,1
24qRYb,1,4,3,0
24qRYb,2,NA,NA,NA
24qRYb,3,NA,NA,NA
24qY5b,1,4,2,14
24qY5b,2,NA,NA,NA
24qY5b,3,NA,NA,NA
24qYq6,1,0,5,9
24qYq6,2,0,1,5
24qYq6,3,NA,NA,NA
24qYRn,1,NA,2,8
24qYRn,2,NA,2,5
24qYRn,3,NA,NA,NA
24qZzo,1,0,4,6
24qZzo,2,0,4,8
24qZzo,3,NA,NA,NA
24v90b,1,1,2,20
24v90b,2,0,0,5
24v90b,3,0,0,6
24v91Z,1,0,1,4
24v91Z,2,0,0,3
24v91Z,3,0,1,4
24VApZ,1,0,0,2
24VApZ,2,0,2,0
24VApZ,3,0,1,2
24Vgab,1,0,0,0
24Vgab,2,0,1,0
24Vgab,3,0,1,0
24VkAv,1,0,1,4
24VkAv,2,0,1,3
24VkAv,3,0,0,10
24VLjr,1,0,2,4
24VLjr,2,0,1,4
24VLjr,3,0,2,3
24vm36,1,0,4,10
24vm36,2,0,6,7
24vm36,3,0,4,10
24vm5Y,1,0,4,13
24vm5Y,2,0,4,13
24vm5Y,3,0,1,7
24vmGZ,1,0,4,5
24vmGZ,2,0,2,0
24vmGZ,3,0,2,1
24vmno,1,0,4,4
24vmno,2,NA,NA,NA
24vmno,3,NA,NA,NA
24vmPY,1,0,2,6
24vmPY,2,0,2,0
24vmPY,3,0,3,2
24Vpwv,1,0,5,11
24Vpwv,2,0,5,14
24Vpwv,3,0,4,9
24VrYv,1,0,1,0
24VrYv,2,0,0,0
24VrYv,3,0,1,0
24vV5R,1,0,0,0
24vV5R,2,NA,NA,NA
24vV5R,3,NA,NA,NA
24vVqv,1,2,4,7
24vVqv,2,0,4,16
24vVqv,3,NA,NA,NA
24VYbr,1,0,2,0
24VYbr,2,0,3,0
24VYbr,3,0,1,0
24VzDo,1,0,3,4
24VzDo,2,NA,NA,NA
24VzDo,3,0,1,9
24VzEn,1,0,1,4
24VzEn,2,0,0,6
24VzEn,3,0,0,7
24zkoX,1,0,1,0
24zkoX,2,0,0,0
24zkoX,3,0,0,1
291Mb2,1,0,1,20
291Mb2,2,0,2,18
291Mb2,3,0,0,10
293b9K,1,0,0,2
293b9K,2,NA,NA,NA
293b9K,3,NA,NA,NA
293l5Y,1,0,2,6
293l5Y,2,NA,NA,NA
293l5Y,3,NA,NA,NA
293vWR,1,1,5,0
293vWR,2,2,5,3
293vWR,3,0,5,21
2990Db,1,0,0,1
2990Db,2,0,0,0
2990Db,3,0,0,0
2990Kb,1,0,5,15
2990Kb,2,0,2,2
2990Kb,3,0,1,0
2990Lb,1,0,0,2
2990Lb,2,0,2,0
2990Lb,3,0,0,2
2990OY,1,0,4,7
2990OY,2,0,1,0
2990OY,3,0,1,0
2994My,1,0,3,14
2994My,2,0,3,11
2994My,3,0,3,6
2994PK,1,0,0,0
2994PK,2,0,0,0
2994PK,3,0,0,0
299A08,1,0,0,2
299A08,2,0,0,0
299A08,3,0,0,0
299AAg,1,0,0,1
299AAg,2,0,0,0
299AAg,3,0,0,3
299Aby,1,0,0,1
299Aby,2,0,0,0
299Aby,3,0,0,0
299ady,1,0,0,0
299ady,2,0,0,0
299ady,3,0,0,0
299AdY,1,0,0,0
299AdY,2,0,0,0
299AdY,3,0,0,0
299AJb,1,0,0,0
299AJb,2,0,0,1
299AJb,3,0,0,0
299amy,1,0,0,1
299amy,2,0,1,0
299amy,3,0,2,2
299ArY,1,0,4,12
299ArY,2,0,0,6
299ArY,3,0,0,2
299AwP,1,NA,1,0
299AwP,2,NA,2,8
299AwP,3,0,3,0
299ddx,1,0,3,0
299ddx,2,0,1,1
299ddx,3,0,2,0
299dky,1,0,0,4
299dky,2,0,1,5
299dky,3,0,1,4
299EdR,1,0,0,2
299EdR,2,NA,NA,NA
299EdR,3,NA,NA,NA
299EMP,1,0,1,1
299EMP,2,0,0,2
299EMP,3,0,1,1
299jKg,1,0,3,3
299jKg,2,0,3,2
299jKg,3,0,3,1
299Jm8,1,0,5,1
299Jm8,2,0,4,3
299Jm8,3,0,3,4
299RqZ,1,0,6,4
299RqZ,2,NA,NA,NA
299RqZ,3,NA,NA,NA
299VVP,1,0,0,7
299VVP,2,0,0,6
299VVP,3,0,0,17
299WLZ,1,0,2,10
299WLZ,2,0,2,6
299WLZ,3,0,1,8
299Y5g,1,0,1,20
299Y5g,2,0,3,17
299Y5g,3,NA,NA,NA
29B1AY,1,1,0,14
29B1AY,2,1,0,4
29B1AY,3,1,0,5
29B81Y,1,0,1,7
29B81Y,2,0,0,5
29B81Y,3,0,0,3
29BaqZ,1,0,4,6
29BaqZ,2,0,3,2
29BaqZ,3,NA,NA,NA
29BDky,1,0,1,6
29BDky,2,0,4,6
29BDky,3,0,4,5
29BQzg,1,0,2,8
29BQzg,2,0,3,8
29BQzg,3,0,1,7
29K0Ry,1,0,2,9
29K0Ry,2,0,3,7
29K0Ry,3,0,3,6
29K1DY,1,0,4,11
29K1DY,2,0,3,10
29K1DY,3,0,4,10
29K1jQ,1,2,6,24
29K1jQ,2,4,0,24
29K1jQ,3,2,6,24
29K898,1,0,0,2
29K898,2,0,2,1
29K898,3,0,0,2
29K8R8,1,0,5,19
29K8R8,2,0,4,23
29K8R8,3,0,3,17
29K8rY,1,0,4,1
29K8rY,2,0,3,2
29K8rY,3,0,3,4
29KAjg,1,0,4,14
29KAjg,2,0,5,16
29KAjg,3,NA,4,10
29KAQg,1,0,0,1
29KAQg,2,NA,3,21
29KAQg,3,NA,NA,NA
29Kb68,1,1,6,16
29Kb68,2,1,6,21
29Kb68,3,0,6,18
29KD5y,1,0,3,7
29KD5y,2,2,6,20
29KD5y,3,1,6,14
29Kd8K,1,0,1,2
29Kd8K,2,0,3,2
29Kd8K,3,0,2,1
29KDAR,1,0,5,7
29KDAR,2,0,0,6
29KDAR,3,NA,NA,NA
29KdAy,1,0,2,13
29KdAy,2,0,5,22
29KdAy,3,0,1,20
29KDQy,1,0,3,5
29KDQy,2,NA,NA,NA
29KDQy,3,0,4,2
29Km0K,1,0,2,0
29Km0K,2,0,1,0
29Km0K,3,0,1,0
29KMLb,1,0,4,13
29KMLb,2,NA,NA,NA
29KMLb,3,NA,NA,NA
29KMvY,1,0,4,20
29KMvY,2,0,4,16
29KMvY,3,0,4,17
29KN9K,1,0,4,9
29KN9K,2,0,3,7
29KN9K,3,1,6,9
29KODg,1,0,0,0
29KODg,2,0,1,1
29KODg,3,0,2,12
29Ll0P,1,NA,0,0
29Ll0P,2,NA,0,0
29Ll0P,3,0,0,0
29Ll9R,1,0,6,15
29Ll9R,2,0,6,16
29Ll9R,3,0,6,14
29Lldg,1,2,1,8
29Lldg,2,0,0,13
29Lldg,3,0,2,9
29LlYK,1,0,1,3
29LlYK,2,0,2,3
29LlYK,3,0,1,9
29LxGY,1,4,0,24
29LxGY,2,4,1,24
29LxGY,3,NA,NA,NA
29LxmZ,1,0,1,2
29LxmZ,2,NA,NA,NA
29LxmZ,3,NA,NA,NA
29q6Ob,1,0,6,8
29q6Ob,2,0,3,10
29q6Ob,3,0,6,16
29qA6K,1,0,4,6
29qA6K,2,NA,NA,NA
29qA6K,3,NA,NA,NA
29qAyR,1,0,0,4
29qAyR,2,0,5,4
29qAyR,3,0,0,2
29qGnK,1,0,3,2
29qGnK,2,0,1,0
29qGnK,3,0,0,0
29x6Kb,1,0,0,0
29x6Kb,2,0,0,0
29x6Kb,3,0,1,0
29xAwY,1,0,1,4
29xAwY,2,0,2,3
29xAwY,3,0,0,2
29xDVZ,1,0,4,13
29xDVZ,2,0,4,13
29xDVZ,3,0,5,13
29xEqg,1,0,0,2
29xEqg,2,0,0,5
29xEqg,3,0,0,5
29xGRY,1,0,1,4
29xGRY,2,0,5,4
29xGRY,3,0,2,3
29xjlZ,1,0,0,0
29xjlZ,2,0,1,0
29xjlZ,3,0,0,0
29xL3R,1,0,1,5
29xL3R,2,3,4,0
29xL3R,3,2,2,0
29xy8y,1,0,3,17
29xy8y,2,0,4,17
29xy8y,3,0,5,9
2a34xo,1,0,2,4
2a34xo,2,0,2,8
2a34xo,3,0,3,8
2a3b36,1,0,1,17
2a3b36,2,NA,NA,NA
2a3b36,3,NA,NA,NA
2a3Lz6,1,0,2,1
2a3Lz6,2,0,2,0
2a3Lz6,3,0,3,0
2a3n0O,1,0,2,3
2a3n0O,2,0,3,2
2a3n0O,3,0,3,1
2a3npk,1,2,4,6
2a3npk,2,2,5,10
2a3npk,3,2,5,9
2a98n6,1,0,0,1
2a98n6,2,0,0,0
2a98n6,3,0,0,1
